,TIME,GEO,UNIT,SEX,AGE,ICD10,Value,Flag and Footnotes
577,2005,France,Number,Males,Total,Diseases of kidney and ureter,3228,
578,2005,France,Number,Males,Total,"Pregnancy, childbirth and the puerperium (O00-O99)",0,
579,2005,France,Number,Males,Total,Certain conditions originating in the perinatal period (P00-P96),867,
580,2005,France,Number,Males,Total,"Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)",828,
581,2005,France,Number,Males,Total,Congenital malformations of the nervous system,63,
582,2005,France,Number,Males,Total,Congenital malformations of the circulatory system,312,
583,2005,France,Number,Males,Total,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)",15836,
584,2005,France,Number,Males,Total,Sudden infant death syndrome,165,
585,2005,France,Number,Males,Total,Ill-defined and unknown causes of mortality,7084,
586,2005,France,Number,Males,Total,External causes of morbidity and mortality (V01-Y89),23399,
587,2005,France,Number,Males,Total,Accidents,13944,
588,2005,France,Number,Males,Total,Transport accidents (V01-V99),4204,
589,2005,France,Number,Males,Total,Falls,2635,
590,2005,France,Number,Males,Total,Accidental poisoning by and exposure to noxious substances,571,
591,2005,France,Number,Males,Total,Intentional self-harm,7958,
592,2005,France,Number,Males,Total,Assault,326,
593,2005,France,Number,Males,Total,Event of undetermined intent,376,
594,2005,France,Number,Females,Total,All causes of death (A00-Y89) excluding S00-T98,261633,
595,2005,France,Number,Females,Total,Certain infectious and parasitic diseases (A00-B99),5063,
596,2005,France,Number,Females,Total,Tuberculosis,418,
597,2005,France,Number,Females,Total,Meningococcal infection,19,
598,2005,France,Number,Females,Total,Viral hepatitis,355,
599,2005,France,Number,Females,Total,Human immunodeficiency virus [HIV] disease,232,
600,2005,France,Number,Females,Total,Neoplasms,64281,
601,2005,France,Number,Females,Total,Malignant neoplasms (C00-C97),61027,
602,2005,France,Number,Females,Total,"Malignant neoplasm of lip, oral cavity, pharynx",754,
603,2005,France,Number,Females,Total,Malignant neoplasm of oesophagus,674,
604,2005,France,Number,Females,Total,Malignant neoplasm of stomach,1867,
605,2005,France,Number,Females,Total,Malignant neoplasm of colon,5990,
606,2005,France,Number,Females,Total,"Malignant neoplasm of rectosigmoid junction, rectum, anus and anal canal",1968,
607,2005,France,Number,Females,Total,Malignant neoplasm of liver and intrahepatic bile ducts,1922,
608,2005,France,Number,Females,Total,Malignant neoplasm of pancreas,3907,
609,2005,France,Number,Females,Total,"Malignant neoplasm of larynx,  trachea, bronchus and lung",6127,
610,2005,France,Number,Females,Total,Malignant melanoma of skin,716,
611,2005,France,Number,Females,Total,Malignant neoplasm of breast,11466,
612,2005,France,Number,Females,Total,Malignant neoplasm of cervix uteri,761,
613,2005,France,Number,Females,Total,Malignant neoplasm of other parts of uterus,2288,
614,2005,France,Number,Females,Total,Malignant neoplasm of ovary,3349,
615,2005,France,Number,Females,Total,Malignant neoplasm of prostate,0,
616,2005,France,Number,Females,Total,"Malignant neoplasm of kidney, except renal pelvis",1156,
617,2005,France,Number,Females,Total,Malignant neoplasm of bladder,1139,
618,2005,France,Number,Females,Total,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",6018,
619,2005,France,Number,Females,Total,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,1231,
620,2005,France,Number,Females,Total,"Endocrine, nutritional and metabolic diseases (E00-E90)",11367,
621,2005,France,Number,Females,Total,Diabetes mellitus,6210,
622,2005,France,Number,Females,Total,Mental and behavioural disorders (F00-F99),9949,
623,2005,France,Number,Females,Total,Mental and behavioural disorders due to use of alcohol,639,
624,2005,France,Number,Females,Total,"Drug dependence, toxicomania (F11-F16, F18-F19)",30,
625,2005,France,Number,Females,Total,Diseases of the nervous system and the sense organs (G00-H95),15615,
626,2005,France,Number,Females,Total,Meningitis,79,
627,2005,France,Number,Females,Total,Diseases of the circulatory system (I00-I99),81322,
628,2005,France,Number,Females,Total,Ischaemic heart diseases,17842,
629,2005,France,Number,Females,Total,"Other heart diseases (I30-I33, I39-I52)",25664,
630,2005,France,Number,Females,Total,Cerebrovascular diseases,20076,
631,2005,France,Number,Females,Total,Diseases of the respiratory system (J00-J99),17268,
632,2005,France,Number,Females,Total,Influenza,643,
633,2005,France,Number,Females,Total,Pneumonia,6132,
634,2005,France,Number,Females,Total,Chronic lower respiratory diseases,3676,
635,2005,France,Number,Females,Total,Asthma and status asthmaticus,758,
636,2005,France,Number,Females,Total,Diseases of the digestive system (K00-K93),10950,
637,2005,France,Number,Females,Total,"Ulcer of stomach, duodenum and jejunum",423,
638,2005,France,Number,Females,Total,Chronic liver disease,2340,
639,2005,France,Number,Females,Total,Diseases of the skin and subcutaneous tissue (L00-L99),1256,
640,2005,France,Number,Females,Total,Diseases of the musculoskeletal system and connective tissue (M00-M99),2370,
641,2005,France,Number,Females,Total,"Rheumatoid arthritis and arthrosis (M05-M06,M15-M19)",510,
642,2005,France,Number,Females,Total,Diseases of the genitourinary system  (N00-N99),4386,
643,2005,France,Number,Females,Total,Diseases of kidney and ureter,3411,
644,2005,France,Number,Females,Total,"Pregnancy, childbirth and the puerperium (O00-O99)",47,
645,2005,France,Number,Females,Total,Certain conditions originating in the perinatal period (P00-P96),661,
646,2005,France,Number,Females,Total,"Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)",717,
647,2005,France,Number,Females,Total,Congenital malformations of the nervous system,59,
648,2005,France,Number,Females,Total,Congenital malformations of the circulatory system,268,
649,2005,France,Number,Females,Total,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)",19781,
650,2005,France,Number,Females,Total,Sudden infant death syndrome,94,
651,2005,France,Number,Females,Total,Ill-defined and unknown causes of mortality,5884,
652,2005,France,Number,Females,Total,External causes of morbidity and mortality (V01-Y89),15369,
653,2005,France,Number,Females,Total,Accidents,11370,
654,2005,France,Number,Females,Total,Transport accidents (V01-V99),1404,
655,2005,France,Number,Females,Total,Falls,2775,
656,2005,France,Number,Females,Total,Accidental poisoning by and exposure to noxious substances,464,
657,2005,France,Number,Females,Total,Intentional self-harm,2937,
658,2005,France,Number,Females,Total,Assault,168,
659,2005,France,Number,Females,Total,Event of undetermined intent,67,
