"DONNEES - Effectifs des médecins"
"ANNEE - 2015"
"SEXE - Ensemble tous sexes confondus"

,AGE,"Ensemble tous âges confondus","Moins de 30 ans","Entre 30 et 34 ans","Entre 35 et 39 ans","Entre 40 et 44 ans","Entre 45 et 49 ans","Entre 50 et 54 ans","Entre 55 et 59 ans","Entre 60 et 64 ans","Entre 65 et 69 ans","70 ans et plus"
"FRANCE ENTIERE","Psychiatrie",15048,245,1324,1250,1191,1466,1830,2449,2837,1672,784
"FRANCE ENTIERE","Radio-diagnostic et imagerie médicale",8558,67,657,856,794,946,1283,1676,1300,739,240
"FRANCE ENTIERE","Radio-thérapie",849,9,109,113,93,97,104,127,133,53,11
"FRANCE ENTIERE","Réanimation médicale",330,0,23,79,67,53,64,28,12,4,0
"FRANCE ENTIERE","Recherche médicale",13,0,0,0,0,0,9,4,0,0,0
"FRANCE ENTIERE","Rhumatologie",2598,56,172,170,172,294,368,556,481,233,96
"FRANCE ENTIERE","Santé publique et médecine sociale",1698,20,170,180,173,219,227,308,305,92,4
"FRANCE ENTIERE","Généralistes",102485,2078,8014,8172,9243,10840,16932,19283,17792,7945,2186
"FRANCE ENTIERE","Médecine générale",102485,2078,8014,8172,9243,10840,16932,19283,17792,7945,2186
"FRANCE Métropolitaine","Ensemble des spécialités d'exercice",216767,3659,18425,19180,19718,23520,31900,40637,37156,17275,5297
"FRANCE Métropolitaine","Spécialistes",117098,1646,10661,11337,10812,12993,15423,21765,19708,9560,3193
"FRANCE Métropolitaine","Anatomie et cytologie pathologiques",1550,13,120,118,140,203,244,308,279,101,24
"FRANCE Métropolitaine","Anesthésie-réanimation",10856,80,1112,1342,1131,1115,1078,2016,1938,876,168
"FRANCE Métropolitaine","Biologie médicale",2863,49,222,273,305,521,812,401,178,75,27
"FRANCE Métropolitaine","Cardiologie et maladies vasculaires",6752,157,615,618,581,773,968,1188,1019,599,234
"FRANCE Métropolitaine","Chirurgie générale",3538,100,916,293,189,220,193,529,611,365,122
"FRANCE Métropolitaine","Chirurgie maxillo-faciale et stomatologie",1155,0,50,69,62,73,81,356,321,100,43
"FRANCE Métropolitaine","Chirurgie orthopédique et traumatologie",3099,1,231,374,384,469,608,506,355,122,49
"FRANCE Métropolitaine","Chirurgie infantile",286,0,11,52,41,63,49,29,28,11,2
"FRANCE Métropolitaine","Chirurgie plastique reconstructrice et esthétique",851,0,68,123,106,105,167,131,84,39,28
"FRANCE Métropolitaine","Chirurgie thoracique et cardio-vasculaire",424,0,18,76,78,73,103,41,22,12,1
"FRANCE Métropolitaine","Chirurgie urologique",1143,0,97,175,179,178,216,138,107,44,9
"FRANCE Métropolitaine","Chirurgie vasculaire",511,0,36,41,66,73,70,79,96,43,7
"FRANCE Métropolitaine","Chirurgie viscérale et digestive",953,0,40,111,147,191,255,102,71,31,5
"FRANCE Métropolitaine","Dermatologie et vénéréologie",3999,72,248,257,260,418,493,948,832,345,126
"FRANCE Métropolitaine","Endocrinologie et métabolisme",1792,41,187,203,230,233,302,278,204,88,26
"FRANCE Métropolitaine","Génétique médicale",233,3,22,34,28,21,46,27,29,14,9
"FRANCE Métropolitaine","Gériatrie",1628,2,75,148,251,316,360,263,157,43,13
"FRANCE Métropolitaine","Gynécologie médicale",3257,21,85,28,10,15,88,1186,1100,571,153
"FRANCE Métropolitaine","Gynécologie-obstétrique",4403,47,615,773,538,475,583,607,441,247,77
"FRANCE Métropolitaine","Hématologie",545,6,97,93,103,117,95,20,11,2,1
"FRANCE Métropolitaine","Gastro-entérologie et hépatologie",3567,105,304,270,329,489,596,698,502,210,64
"FRANCE Métropolitaine","Médecine du travail",5527,22,193,287,346,561,622,1339,1567,498,92
"FRANCE Métropolitaine","Médecine interne",2359,14,228,241,243,302,284,296,395,261,95
"FRANCE Métropolitaine","Médecine nucléaire",687,39,103,109,64,87,79,91,70,35,10
"FRANCE Métropolitaine","Médecine physique et réadaptation",1998,43,110,162,173,248,211,447,386,169,49
"FRANCE Métropolitaine","Néphrologie",1557,64,216,166,189,196,230,212,155,104,25
"FRANCE Métropolitaine","Neuro-chirurgie",513,0,70,71,77,62,79,70,40,29,15
"FRANCE Métropolitaine","Neurologie",2354,81,306,285,299,349,352,308,250,106,18
"FRANCE Métropolitaine","O.R.L et chirurgie cervico faciale",2988,18,259,202,206,288,376,662,580,291,106
"FRANCE Métropolitaine","Oncologie option médicale",887,8,124,115,124,147,152,99,68,40,10
"FRANCE Métropolitaine","Ophtalmologie",5788,43,391,474,395,429,600,1459,1221,562,214
"FRANCE Métropolitaine","Pédiatrie",7598,167,860,903,807,798,824,1316,1102,597,224
"FRANCE Métropolitaine","Pneumologie",2906,61,235,237,297,376,393,564,514,192,37
"FRANCE Métropolitaine","Psychiatrie",14780,241,1289,1227,1165,1440,1792,2408,2798,1650,770
"FRANCE Métropolitaine","Radio-diagnostic et imagerie médicale",8377,66,642,847,770,921,1261,1645,1269,725,231
"FRANCE Métropolitaine","Radio-thérapie",832,9,108,113,92,96,102,121,129,51,11
"FRANCE Métropolitaine","Réanimation médicale",325,0,23,79,66,51,63,27,12,4,0
"FRANCE Métropolitaine","Recherche médicale",13,0,0,0,0,0,9,4,0,0,0
"FRANCE Métropolitaine","Rhumatologie",2566,55,171,169,171,289,366,548,477,226,94
"FRANCE Métropolitaine","Santé publique et médecine sociale",1638,18,164,179,170,212,221,298,290,82,4
"FRANCE Métropolitaine","Généralistes",99669,2013,7764,7843,8906,10527,16477,18872,17448,7715,2104
"FRANCE Métropolitaine","Médecine générale",99669,2013,7764,7843,8906,10527,16477,18872,17448,7715,2104
"DOM-COM","Ensemble des spécialités d'exercice",5383,98,496,568,604,628,768,808,746,484,183
"DOM-COM","Spécialistes",2567,33,246,239,267,315,313,397,402,254,101
"DOM-COM","Anatomie et cytologie pathologiques",28,0,4,1,3,4,2,7,3,3,1
"DOM-COM","Anesthésie-réanimation",293,3,32,42,27,33,17,54,47,36,2
"DOM-COM","Biologie médicale",71,0,9,7,13,10,19,6,6,1,0
"DOM-COM","Cardiologie et maladies vasculaires",135,2,8,8,14,15,15,28,18,13,14
"DOM-COM","Chirurgie générale",73,0,13,2,1,8,4,13,17,9,6
"DOM-COM","Chirurgie maxillo-faciale et stomatologie",15,0,0,1,1,0,1,4,3,4,1
"DOM-COM","Chirurgie orthopédique et traumatologie",58,0,3,6,9,9,15,5,9,1,1
"DOM-COM","Chirurgie infantile",14,0,0,2,4,4,4,0,0,0,0
"DOM-COM","Chirurgie plastique reconstructrice et esthétique",18,0,1,2,2,6,3,3,0,1,0
"DOM-COM","Chirurgie thoracique et cardio-vasculaire",12,0,2,1,1,2,3,1,2,0,0
"DOM-COM","Chirurgie urologique",28,0,2,6,2,5,5,4,1,1,2
"DOM-COM","Chirurgie vasculaire",12,0,1,1,1,2,2,2,2,1,0
"DOM-COM","Chirurgie viscérale et digestive",24,0,1,0,2,9,9,1,2,0,0
"DOM-COM","Dermatologie et vénéréologie",66,3,5,7,4,10,6,7,13,7,4
"DOM-COM","Endocrinologie et métabolisme",37,1,4,3,7,3,7,4,5,3,0
"DOM-COM","Génétique médicale",6,0,1,1,1,0,1,1,1,0,0
"DOM-COM","Gériatrie",19,0,2,1,2,5,4,3,2,0,0
"DOM-COM","Gynécologie médicale",54,0,0,0,0,0,2,12,20,14,6
"DOM-COM","Gynécologie-obstétrique",174,2,22,29,17,26,23,23,18,13,1
"DOM-COM","Hématologie",7,0,1,2,0,1,3,0,0,0,0
"DOM-COM","Gastro-entérologie et hépatologie",63,1,5,1,5,2,11,15,14,7,2
"DOM-COM","Médecine du travail",78,0,2,3,8,14,11,7,25,8,0
"DOM-COM","Médecine interne",60,0,6,10,8,8,6,3,7,7,5
"DOM-COM","Médecine nucléaire",6,0,0,3,2,0,1,0,0,0,0
"DOM-COM","Médecine physique et réadaptation",45,0,4,7,6,4,6,5,8,4,1
"DOM-COM","Néphrologie",56,3,3,2,5,2,6,14,9,9,3
"DOM-COM","Neuro-chirurgie",14,0,1,4,2,3,2,0,2,0,0
"DOM-COM","Neurologie",35,1,2,1,3,11,6,2,5,4,0
"DOM-COM","O.R.L et chirurgie cervico faciale",66,1,6,7,6,4,3,11,11,12,5
"DOM-COM","Oncologie option médicale",9,0,0,0,2,1,4,1,0,1,0
"DOM-COM","Ophtalmologie",119,1,6,7,13,13,13,19,25,13,9
"DOM-COM","Pédiatrie",263,7,33,35,36,30,25,34,30,22,11
"DOM-COM","Pneumologie",46,0,9,3,4,5,3,11,4,5,2
"DOM-COM","Psychiatrie",268,4,35,23,26,26,38,41,39,22,14
"DOM-COM","Radio-diagnostic et imagerie médicale",181,1,15,9,24,25,22,31,31,14,9
"DOM-COM","Radio-thérapie",17,0,1,0,1,1,2,6,4,2,0
"DOM-COM","Réanimation médicale",5,0,0,0,1,2,1,1,0,0,0
"DOM-COM","Recherche médicale",0,0,0,0,0,0,0,0,0,0,0
"DOM-COM","Rhumatologie",32,1,1,1,1,5,2,8,4,7,2
"DOM-COM","Santé publique et médecine sociale",60,2,6,1,3,7,6,10,15,10,0
"DOM-COM","Généralistes",2816,65,250,329,337,313,455,411,344,230,82
"DOM-COM","Médecine générale",2816,65,250,329,337,313,455,411,344,230,82
"Alsace","Ensemble des spécialités d'exercice",6669,103,620,623,634,747,983,1320,1100,426,113
"Alsace","Spécialistes",3704,50,380,381,361,427,461,719,602,255,68
"Alsace","Anatomie et cytologie pathologiques",37,0,2,2,6,3,5,7,11,1,0
"Alsace","Anesthésie-réanimation",372,8,43,45,38,34,49,67,68,18,2
"Alsace","Biologie médicale",72,0,8,6,8,17,14,13,6,0,0
"Alsace","Cardiologie et maladies vasculaires",226,4,23,27,21,36,23,38,30,20,4
"Alsace","Chirurgie générale",133,4,38,14,13,9,4,20,16,13,2
"Alsace","Chirurgie maxillo-faciale et stomatologie",15,0,0,1,3,1,0,5,3,2,0
"Alsace","Chirurgie orthopédique et traumatologie",96,0,12,14,12,14,19,10,10,3,2
"Alsace","Chirurgie infantile",12,0,0,2,1,3,2,3,0,1,0
"Alsace","Chirurgie plastique reconstructrice et esthétique",21,0,0,5,3,2,5,5,0,1,0
"Alsace","Chirurgie thoracique et cardio-vasculaire",17,0,0,5,1,2,6,2,1,0,0
"Alsace","Chirurgie urologique",27,0,0,3,5,6,5,4,3,0,1
"Alsace","Chirurgie vasculaire",13,0,0,2,1,1,0,4,4,1,0
"Alsace","Chirurgie viscérale et digestive",30,0,1,6,5,8,5,4,1,0,0
"Alsace","Dermatologie et vénéréologie",122,4,8,7,9,15,15,26,25,10,3
"Alsace","Endocrinologie et métabolisme",46,0,9,3,3,3,14,5,7,2,0
"Alsace","Génétique médicale",13,0,4,0,1,0,5,1,0,1,1
"Alsace","Gériatrie",62,1,2,4,9,13,12,12,7,1,1
"Alsace","Gynécologie médicale",50,0,1,0,0,1,1,32,11,3,1
"Alsace","Gynécologie-obstétrique",201,2,21,14,21,19,26,45,31,18,4
"Alsace","Hématologie",8,0,2,2,2,1,1,0,0,0,0
"Alsace","Gastro-entérologie et hépatologie",107,2,10,4,10,13,14,28,15,10,1
"Alsace","Médecine du travail",210,0,10,14,16,26,20,56,48,18,2
"Alsace","Médecine interne",107,0,9,14,10,14,16,14,21,6,3
"Alsace","Médecine nucléaire",18,1,2,4,2,3,2,3,0,1,0
"Alsace","Médecine physique et réadaptation",84,0,5,11,7,7,5,20,19,9,1
"Alsace","Néphrologie",57,3,11,9,8,6,9,5,5,1,0
"Alsace","Neuro-chirurgie",23,0,1,7,7,3,1,3,0,0,1
"Alsace","Neurologie",87,3,13,13,12,10,13,12,9,2,0
"Alsace","O.R.L et chirurgie cervico faciale",86,0,8,7,6,8,8,19,18,11,1
"Alsace","Oncologie option médicale",22,0,2,2,1,4,2,4,4,2,1
"Alsace","Ophtalmologie",168,1,13,15,13,16,8,47,36,14,5
"Alsace","Pédiatrie",229,6,24,24,28,24,24,44,39,12,4
"Alsace","Pneumologie",84,1,8,7,8,12,11,23,8,4,2
"Alsace","Psychiatrie",406,6,49,36,34,45,51,56,78,33,18
"Alsace","Radio-diagnostic et imagerie médicale",289,1,20,34,24,26,43,54,50,29,8
"Alsace","Radio-thérapie",28,0,8,2,3,4,2,4,3,2,0
"Alsace","Réanimation médicale",17,0,0,3,2,5,3,4,0,0,0
"Alsace","Recherche médicale",1,0,0,0,0,0,1,0,0,0,0
"Alsace","Rhumatologie",65,3,6,9,5,8,9,11,12,2,0
"Alsace","Santé publique et médecine sociale",43,0,7,4,3,5,8,9,3,4,0
"Alsace","Généralistes",2965,53,240,242,273,320,522,601,498,171,45
"Alsace","Médecine générale",2965,53,240,242,273,320,522,601,498,171,45
"Aquitaine","Ensemble des spécialités d'exercice",11817,180,948,1099,1177,1300,1750,2079,2051,971,262
"Aquitaine","Spécialistes",6144,107,507,652,574,677,811,1085,1068,514,149
"Aquitaine","Anatomie et cytologie pathologiques",92,0,6,10,7,11,21,8,22,4,3
"Aquitaine","Anesthésie-réanimation",597,3,46,76,74,58,66,105,121,42,6
"Aquitaine","Biologie médicale",162,5,13,23,19,32,36,19,9,5,1
"Aquitaine","Cardiologie et maladies vasculaires",395,8,30,48,41,46,53,54,64,37,14
"Aquitaine","Chirurgie générale",172,6,43,13,6,9,4,28,33,24,6
"Aquitaine","Chirurgie maxillo-faciale et stomatologie",52,0,4,1,5,3,7,13,15,3,1
"Aquitaine","Chirurgie orthopédique et traumatologie",178,0,15,29,17,34,36,25,14,7,1
"Aquitaine","Chirurgie infantile",12,0,0,3,2,5,1,1,0,0,0
"Aquitaine","Chirurgie plastique reconstructrice et esthétique",41,0,0,8,9,4,7,8,4,1,0
"Aquitaine","Chirurgie thoracique et cardio-vasculaire",24,0,2,4,4,4,6,3,0,1,0
"Aquitaine","Chirurgie urologique",55,0,6,7,8,5,11,7,9,2,0
"Aquitaine","Chirurgie vasculaire",32,0,2,6,3,4,4,3,8,2,0
"Aquitaine","Chirurgie viscérale et digestive",62,0,2,10,7,8,27,3,4,1,0
"Aquitaine","Dermatologie et vénéréologie",239,6,13,20,17,30,27,52,47,20,7
"Aquitaine","Endocrinologie et métabolisme",85,5,13,8,9,12,14,8,11,5,0
"Aquitaine","Génétique médicale",7,0,2,2,1,0,2,0,0,0,0
"Aquitaine","Gériatrie",64,0,7,5,12,9,16,7,6,1,1
"Aquitaine","Gynécologie médicale",222,4,6,3,1,2,8,77,85,31,5
"Aquitaine","Gynécologie-obstétrique",185,4,26,41,29,17,28,16,16,4,4
"Aquitaine","Hématologie",25,0,4,5,7,2,7,0,0,0,0
"Aquitaine","Gastro-entérologie et hépatologie",182,4,11,23,14,25,32,39,21,10,3
"Aquitaine","Médecine du travail",269,1,10,21,17,27,35,65,69,23,1
"Aquitaine","Médecine interne",121,0,8,12,8,17,15,15,24,17,5
"Aquitaine","Médecine nucléaire",32,2,9,5,3,5,2,5,1,0,0
"Aquitaine","Médecine physique et réadaptation",110,4,5,4,12,14,12,23,21,12,3
"Aquitaine","Néphrologie",65,2,14,8,6,5,7,7,8,8,0
"Aquitaine","Neuro-chirurgie",24,0,4,3,2,3,6,2,3,0,1
"Aquitaine","Neurologie",120,6,7,18,12,22,20,17,11,6,1
"Aquitaine","O.R.L et chirurgie cervico faciale",162,2,12,14,14,17,12,37,36,11,7
"Aquitaine","Oncologie option médicale",41,0,7,3,7,8,8,3,4,1,0
"Aquitaine","Ophtalmologie",319,3,12,26,22,25,34,78,67,41,11
"Aquitaine","Pédiatrie",319,14,31,42,34,33,39,55,33,24,14
"Aquitaine","Pneumologie",116,4,9,5,10,15,21,27,17,7,1
"Aquitaine","Psychiatrie",849,13,68,68,65,85,76,143,181,110,40
"Aquitaine","Radio-diagnostic et imagerie médicale",482,7,36,50,42,52,83,97,67,41,7
"Aquitaine","Radio-thérapie",42,1,6,5,7,6,2,5,8,1,1
"Aquitaine","Réanimation médicale",6,0,0,3,1,0,2,0,0,0,0
"Aquitaine","Recherche médicale",0,0,0,0,0,0,0,0,0,0,0
"Aquitaine","Rhumatologie",99,2,9,9,10,12,14,16,13,9,5
"Aquitaine","Santé publique et médecine sociale",85,1,9,11,10,11,10,14,16,3,0
"Aquitaine","Généralistes",5673,73,441,447,603,623,939,994,983,457,113
"Aquitaine","Médecine générale",5673,73,441,447,603,623,939,994,983,457,113
"Auvergne","Ensemble des spécialités d'exercice",4193,87,419,389,418,430,606,733,706,324,81
"Auvergne","Spécialistes",2114,45,225,206,228,225,249,373,356,169,38
"Auvergne","Anatomie et cytologie pathologiques",31,0,2,1,3,2,5,6,8,4,0
"Auvergne","Anesthésie-réanimation",217,5,16,31,26,21,22,47,31,15,3
"Auvergne","Biologie médicale",49,1,7,7,5,9,11,7,2,0,0
"Auvergne","Cardiologie et maladies vasculaires",119,5,10,13,15,12,16,15,15,13,5
"Auvergne","Chirurgie générale",74,3,19,8,3,9,5,12,8,6,1
"Auvergne","Chirurgie maxillo-faciale et stomatologie",9,0,1,2,2,1,0,1,1,1,0
"Auvergne","Chirurgie orthopédique et traumatologie",59,0,6,5,8,8,11,9,9,3,0
"Auvergne","Chirurgie infantile",5,0,0,1,1,2,0,0,1,0,0
"Auvergne","Chirurgie plastique reconstructrice et esthétique",9,0,1,0,0,2,3,2,0,0,1
"Auvergne","Chirurgie thoracique et cardio-vasculaire",9,0,2,2,1,0,3,1,0,0,0
"Auvergne","Chirurgie urologique",28,0,3,1,4,4,3,5,3,5,0
"Auvergne","Chirurgie vasculaire",14,0,1,2,2,3,2,3,1,0,0
"Auvergne","Chirurgie viscérale et digestive",21,0,0,2,5,6,7,0,1,0,0
"Auvergne","Dermatologie et vénéréologie",63,5,4,5,7,6,3,19,8,6,0
"Auvergne","Endocrinologie et métabolisme",24,0,3,5,4,3,3,5,1,0,0
"Auvergne","Génétique médicale",3,0,0,1,1,0,0,1,0,0,0
"Auvergne","Gériatrie",30,0,2,2,9,4,9,3,0,1,0
"Auvergne","Gynécologie médicale",50,0,0,0,0,0,1,23,19,4,3
"Auvergne","Gynécologie-obstétrique",87,2,15,8,15,12,8,11,10,5,1
"Auvergne","Hématologie",9,0,3,3,2,1,0,0,0,0,0
"Auvergne","Gastro-entérologie et hépatologie",63,3,5,4,9,8,9,12,7,6,0
"Auvergne","Médecine du travail",108,1,7,4,3,9,12,26,35,11,0
"Auvergne","Médecine interne",53,1,8,5,6,9,6,3,7,7,1
"Auvergne","Médecine nucléaire",14,0,1,2,1,3,2,2,2,0,1
"Auvergne","Médecine physique et réadaptation",28,0,2,1,4,3,0,8,9,1,0
"Auvergne","Néphrologie",31,2,5,2,4,5,3,4,3,3,0
"Auvergne","Neuro-chirurgie",13,0,2,1,0,2,3,2,1,2,0
"Auvergne","Neurologie",38,2,3,5,7,6,5,5,5,0,0
"Auvergne","O.R.L et chirurgie cervico faciale",40,1,3,0,3,3,6,9,10,5,0
"Auvergne","Oncologie option médicale",20,1,3,6,4,3,2,0,1,0,0
"Auvergne","Ophtalmologie",119,0,9,8,8,4,3,31,37,16,3
"Auvergne","Pédiatrie",110,5,22,15,11,11,11,14,15,6,0
"Auvergne","Pneumologie",45,0,2,3,4,4,5,11,15,1,0
"Auvergne","Psychiatrie",252,5,29,24,23,19,29,33,48,29,13
"Auvergne","Radio-diagnostic et imagerie médicale",149,1,17,16,15,15,24,23,25,9,4
"Auvergne","Radio-thérapie",23,0,3,4,1,2,3,3,6,1,0
"Auvergne","Réanimation médicale",9,0,0,1,1,3,3,1,0,0,0
"Auvergne","Recherche médicale",0,0,0,0,0,0,0,0,0,0,0
"Auvergne","Rhumatologie",55,2,6,3,6,5,8,12,6,6,1
"Auvergne","Santé publique et médecine sociale",34,0,3,3,5,6,3,4,6,3,1
"Auvergne","Généralistes",2079,42,194,183,190,205,357,360,350,155,43
"Auvergne","Médecine générale",2079,42,194,183,190,205,357,360,350,155,43
"Basse-Normandie","Ensemble des spécialités d'exercice",4444,92,445,365,404,473,657,884,734,308,82
"Basse-Normandie","Spécialistes",2219,39,229,211,207,234,297,444,357,166,35
"Basse-Normandie","Anatomie et cytologie pathologiques",27,0,3,1,4,4,2,4,5,3,1
"Basse-Normandie","Anesthésie-réanimation",208,1,23,21,18,22,20,39,42,18,4
"Basse-Normandie","Biologie médicale",51,1,6,4,5,7,10,9,6,2,1
"Basse-Normandie","Cardiologie et maladies vasculaires",132,2,15,13,9,17,20,27,18,7,4
"Basse-Normandie","Chirurgie générale",84,4,21,5,2,1,4,15,20,10,2
"Basse-Normandie","Chirurgie maxillo-faciale et stomatologie",29,0,2,3,0,3,2,6,10,3,0
"Basse-Normandie","Chirurgie orthopédique et traumatologie",63,0,7,9,7,8,10,13,4,4,1
"Basse-Normandie","Chirurgie infantile",4,0,0,1,0,0,1,1,1,0,0
"Basse-Normandie","Chirurgie plastique reconstructrice et esthétique",6,0,0,0,0,1,2,2,1,0,0
"Basse-Normandie","Chirurgie thoracique et cardio-vasculaire",8,0,1,0,4,1,1,1,0,0,0
"Basse-Normandie","Chirurgie urologique",26,0,2,5,6,0,6,3,1,2,1
"Basse-Normandie","Chirurgie vasculaire",12,0,2,1,0,1,2,2,3,1,0
"Basse-Normandie","Chirurgie viscérale et digestive",29,0,1,4,9,3,7,3,1,1,0
"Basse-Normandie","Dermatologie et vénéréologie",66,3,6,4,5,6,11,19,11,1,0
"Basse-Normandie","Endocrinologie et métabolisme",30,1,8,5,8,1,2,3,1,1,0
"Basse-Normandie","Génétique médicale",3,0,0,0,0,1,0,0,1,1,0
"Basse-Normandie","Gériatrie",27,0,1,2,4,3,4,8,4,1,0
"Basse-Normandie","Gynécologie médicale",55,0,0,0,0,0,0,25,21,8,1
"Basse-Normandie","Gynécologie-obstétrique",96,2,15,16,13,7,12,12,15,2,2
"Basse-Normandie","Hématologie",9,0,0,3,0,2,2,2,0,0,0
"Basse-Normandie","Gastro-entérologie et hépatologie",74,3,7,5,6,11,18,12,9,3,0
"Basse-Normandie","Médecine du travail",103,1,3,3,5,12,11,35,25,8,0
"Basse-Normandie","Médecine interne",31,0,6,5,2,6,3,2,4,3,0
"Basse-Normandie","Médecine nucléaire",13,2,2,0,1,0,2,1,4,1,0
"Basse-Normandie","Médecine physique et réadaptation",44,1,2,2,2,4,8,11,10,4,0
"Basse-Normandie","Néphrologie",29,2,6,2,1,5,6,3,4,0,0
"Basse-Normandie","Neuro-chirurgie",12,0,3,1,1,1,2,2,1,1,0
"Basse-Normandie","Neurologie",45,3,2,6,4,10,4,6,5,3,2
"Basse-Normandie","O.R.L et chirurgie cervico faciale",63,0,7,3,4,8,6,14,11,8,2
"Basse-Normandie","Oncologie option médicale",16,1,3,2,4,2,1,1,1,1,0
"Basse-Normandie","Ophtalmologie",110,1,4,14,11,6,13,30,19,9,3
"Basse-Normandie","Pédiatrie",147,2,17,25,18,14,16,25,20,8,2
"Basse-Normandie","Pneumologie",64,3,7,3,9,10,8,13,5,6,0
"Basse-Normandie","Psychiatrie",236,3,28,19,16,15,37,45,40,27,6
"Basse-Normandie","Radio-diagnostic et imagerie médicale",164,2,11,13,16,30,25,34,19,12,2
"Basse-Normandie","Radio-thérapie",22,0,0,2,3,1,4,5,2,4,1
"Basse-Normandie","Réanimation médicale",4,0,0,1,1,0,2,0,0,0,0
"Basse-Normandie","Recherche médicale",0,0,0,0,0,0,0,0,0,0,0
"Basse-Normandie","Rhumatologie",50,1,5,4,7,5,7,9,11,1,0
"Basse-Normandie","Santé publique et médecine sociale",27,0,3,4,2,6,6,2,2,2,0
"Basse-Normandie","Généralistes",2225,53,216,154,197,239,360,440,377,142,47
"Basse-Normandie","Médecine générale",2225,53,216,154,197,239,360,440,377,142,47
"Bourgogne","Ensemble des spécialités d'exercice",4719,77,388,395,423,482,752,869,858,394,81
"Bourgogne","Spécialistes",2424,41,232,217,213,244,353,447,403,224,50
"Bourgogne","Anatomie et cytologie pathologiques",26,0,3,2,2,3,4,8,3,1,0
"Bourgogne","Anesthésie-réanimation",234,2,24,31,25,25,19,43,45,17,3
