movie_display_name,movie_production_year,movie_genre_display_name,movie_financial_summary_production_budget,movie_financial_summary_international_box_office,movie_annual_summary_tickets_sold,movie_video_summary_domestic_dvd_units,movie_acting_role_display_name,movie_theatrical_release_release_date,movie_creative_type_display_name,movie_production_method_display_name,movie_source_display_name,movie_running_time,movie_technical_role_display_name,movie_production_company_display_name,movie_sequel
Oblivion,2012,Thriller/Suspense,120000000,198809398,10960299,1016281,Tom Cruise,2013-04-19,Science Fiction,Live Action,Based on Comic/Graphic Novel,125,Joseph Kosinski,Universal Pictures,0
Savages,2012,Thriller/Suspense,45000000,31696956,5945113,632930,Blake Lively,2012-07-06,Contemporary Fiction,Live Action,Based on Fiction Book/Short Story,130,Oliver Stone,Universal Pictures,0
Fast and Furious 6,2012,Action,160000000,551272961,29357915,3462137,Vin Diesel,2013-05-24,Contemporary Fiction,Live Action,Based on Factual Book/Article,130,Justin Lin,Universal Pictures,1
Texas Chainsaw 3D,2012,Horror,20000000,13324068,1549504,246889,Gunnar Hansen,2013-01-04,Contemporary Fiction,Live Action,Original Screenplay,92,John Luessenhop,Lionsgate,1
The Last Stand,2012,Action,30000000,36280458,1482201,461497,Arnold Schwarzenegger,2013-01-18,Contemporary Fiction,Live Action,Original Screenplay,107,Kim Jee-woon,Lionsgate,0
Fun Size ,2012,Comedy,14000000,1501981,1182102,,Victoria Justice,2012-10-26,Contemporary Fiction,Live Action,Original Screenplay,86,Josh Schwartz,Paramount Pictures,0
Walking with Dinosaurs,2012,Adventure,80000000,94504609,3855373,631900,John Leguizamo,2013-12-20,Kids Fiction,Animation/Live Action,Based on TV,87,Barry Cook,BBC Earth Films,0
Diary of a Wimpy Kid: Dog Days,2012,Comedy,22000000,28221033,6156867,1037220,Zachary Gordon,2012-08-03,Kids Fiction,Live Action,Based on Fiction Book/Short Story,94,David Bowers,Fox 2000 Pictures,1
Argo,2012,Thriller/Suspense,44500000,91115254,13832527,2027876,Ben Affleck,2012-10-12,Historical Fiction,Live Action,Based on Factual Book/Article,120,Ben Affleck,Warner Bros,0
Anna Karenina,2012,Drama,49000000,58188260,1449467,273030,Keira Knightley,2012-11-16,Historical Fiction,Live Action,Based on Fiction Book/Short Story,129,Joe Wright,Focus Features,0
Les Miserables,2012,Musical,65000000,293359282,13002894,2616780,Hugh Jackman,2012-12-25,Historical Fiction,Live Action,Based on Fiction Book/Short Story,158,Victor Hugo,Universal Pictures,0
After Earth,2012,Action,130000000,190977568,7444292,490303,Will Smith,2013-05-31,Science Fiction,Live Action,Original Screenplay,99,M. Night Shyamalan,Columbia Pictures,0
Chasing Mavericks,2012,Drama,20000000,2298065,750917,263012,Jonny Weston,2012-10-26,Dramatization,Live Action,Based on Real Life Events,115,Curtis Hanson,Fox 2000 Pictures,0
Parental Guidance,2012,Comedy,25000000,42901337,6575338,986658,Billy Crystal,2012-12-25,Contemporary Fiction,Live Action,Original Screenplay,104,Andy Fickman,20th Century Fox,0
"I, Frankenstein",2012,Action,65000000,55500000,2334796,489690,Aaron Eckhart,2014-01-24,Fantasy,Live Action,Based on Comic/Graphic Novel,92,Stuart Beattie,Hopscotch Features,0
Warm Bodies,2012,Romantic Comedy,30000000,48740946,8164903,718457,Teresa Palmer,2013-02-01,Fantasy,Live Action,Based on Fiction Book/Short Story,97,Dave McKeown,Make Movies,0
Sinister,2012,Thriller/Suspense,3000000,39640904,6041068,691089,Ethan Hawke,2012-10-12,Fantasy,Live Action,Original Screenplay,110,Scott Derrickson,Blumhouse,0
Broken City,2012,Thriller/Suspense,35000000,11045601,2423267,393613,Mark Wahlberg,2013-01-18,Contemporary Fiction,Live Action,Original Screenplay,108,Allen Hughes,Regency Enterprises,0
Magic Mike,2012,Comedy,7000000,56828182,14286629,3174043,Channing Tatum,2012-06-29,Contemporary Fiction,Live Action,Original Screenplay,109,Steven Soderbergh,Warner Bros,0
7500,2012,Thriller/Suspense,0,182354,,,,2015-08-06,Fantasy,Live Action,Original Screenplay,0,Takashi Shimizu,,0
Silver Linings Playbook,2012,Drama,21000000,104319495,4356378,1283713,Bradley Cooper,2012-11-16,Contemporary Fiction,Live Action,Based on Fiction Book/Short Story,122,David O. Russell,Weinstein Company,0
Sparkle,2012,Drama,10000000,262854,3065008,587710,Whitney Houston,2012-08-17,Historical Fiction,Live Action,Remake,112,Salim Akil,TriStar Pictures,0
Vettai,2012,Action,0,4163695,25449,,Arya,2012-01-13,Contemporary Fiction,Live Action,Original Screenplay,150,N. Lingusamy,UTV Communications,0
Peeples,2012,Romantic Comedy,15000000,130101,1128790,217760,Craig Robinson,2013-05-10,Contemporary Fiction,Live Action,Original Screenplay,95,Tina Gordon Chism,,0
To Rome with Love,2012,Romantic Comedy,21500000,57679425,2096024,,Alec Baldwin,2012-06-22,Contemporary Fiction,Live Action,Original Screenplay,112,Woody Allen,Medusa Film,0
Serbuan maut,2012,Action,1100000,5192284,515718,224583,Iko Uwais,2012-03-23,Contemporary Fiction,Live Action,Original Screenplay,100,Gareth Evans,Merantau Films,0
Paranormal Activity 4,2012,Horror,5000000,86196168,6771398,426021,Kathryn Newton,2012-10-19,Fantasy,Live Action,Original Screenplay,87,Henry Joost,Blumhouse,1
Tere Naal Love Ho Gaya,2012,Romantic Comedy,0,4619876,22329,,Riteish Deshmukh,2012-02-24,Contemporary Fiction,Live Action,Original Screenplay,130,Mandeep Kumar,Tips Industries,0
The Words,2012,Drama,6000000,4874870,1444075,,Bradley Cooper,2012-09-07,Contemporary Fiction,Live Action,Based on Fiction Book/Short Story,97,Brian Klugman,Benaroya Pictures,0
Grown Ups 2,2012,Comedy,80000000,113355283,16441392,1175680,Adam Sandler,2013-07-12,Contemporary Fiction,Live Action,Original Screenplay,100,Dennis Dugan,Columbia Pictures,1
Escape From Planet Earth,2012,Adventure,40000000,17143633,7012666,398807,Brendan Fraser,2013-02-15,Kids Fiction,Digital Animation,Original Screenplay,89,Cal Brunker,Weinstein Company,0
To the Arctic 3D,2012,Documentary,0,4521674,1339223,,Meryl Streep,2012-04-20,Factual,Live Action,Based on Real Life Events,40,Greg MacGillivray,IMAX Corporation,0
Trouble with the Curve,2012,Drama,60000000,12055776,4492856,1005528,Clint Eastwood,2012-09-21,Contemporary Fiction,Live Action,Original Screenplay,111,Lonnie R. Smith,Warner Bros,0
Marley,2012,Documentary,0,3906254,177572,321209,Bob Marley,2012-04-20,Factual,Live Action,Based on Real Life Events,145,Kevin MacDonald,Shangri-La Entertainment,0
5 Broken Cameras,2012,Documentary,0,173309,9498,,Emad Burnat,2012-05-30,Factual,Live Action,Based on Real Life Events,90,Emad Burnat,Alegria Productions,0
La Delicatesse,2012,Drama,0,3200055,,,Audrey Tautou,2012-03-14,Contemporary Fiction,Live Action,Based on Fiction Book/Short Story,108,Xavier Rigault,2.4.7. Films,0
Iron Sky,2012,Black Comedy,0,11443710,15336,,Julia Dietze,2012-07-25,Science Fiction,Live Action,Original Screenplay,92,Timo Vuorensolam,Blind Spot Pictures,0
Alex Cross,2012,Thriller/Suspense,35000000,6896735,3252313,884833,Tyler Perry,2012-10-19,Contemporary Fiction,Live Action,Based on Fiction Book/Short Story,102,Gary M. Hymes,Block/Hanson,0
Agneepath,2012,Action,0,30213296,247936,,,2012-01-06,Historical Fiction,Live Action,Remake,0,,,0
Hyde Park on Hudson,2012,Drama,0,4866293,403251,96549,Bill Murray,2012-12-07,Dramatization,Live Action,Based on Real Life Events,94,Roger Mitchell,Film 4,0
Beautiful Creatures,2012,Thriller/Suspense,50000000,40830738,2392636,509200,Alden Ehrenreich,2013-02-14,Fantasy,Live Action,Based on Fiction Book/Short Story,123,Richard LaGravenese,Alcon Entertainment,0
Beasts of the Southern Wild,2012,Drama,1800000,9116028,1413207,488452,Quenzhane Wallis,2012-06-27,Fantasy,Live Action,Based on Play,93,Behn Zeitlin,Fox Searchlight,0
Air Racers 3D,2012,Documentary,0,11970,164571,,Paul Walker,2012-04-05,Factual,Live Action,Based on Real Life Events,40,Christian Fry,,0
Safety Not Guaranteed,2012,Comedy,750000,411361,503889,,Aubrey Plaza,2012-06-08,Science Fiction,Live Action,Original Screenplay,85,Colin Trevorow,Big Beach,0
"For a Good Time, Call",2012,Comedy,850000,132289,157254,,Ari Graynor,2012-08-31,Contemporary Fiction,Live Action,Original Screenplay,91,Jamie Travis,AdScott,0
End of Watch,2012,Thriller/Suspense,15000000,14760589,5137163,964560,Jake Gyllenhaal,2012-09-21,Contemporary Fiction,Live Action,Original Screenplay,109,David Ayer,Open Road Films,0
Cirque du Soleil: Worlds Away,2012,Drama,25000000,15500000,1366628,114084,Erica Linz,2012-12-21,Fantasy,Live Action,Original Screenplay,91,Sim Evan-Jones,James Cameron,0
Samsara,2012,Documentary,4000000,3294258,331610,,,2012-08-24,Factual,Live Action,Based on Real Life Events,99,Mark Magidson,Magidson Films,0
[Rec] 3: Genesis,2012,Horror,0,7241000,1206,,Leticia Dolera,2012-09-07,Science Fiction,Live Action,Original Screenplay,80,Paco Plaza,Canal Plus,1
