movie_display_name,movie_production_year,movie_genre_display_name,movie_financial_summary_production_budget,movie_financial_summary_international_box_office,movie_annual_summary_tickets_sold,movie_video_summary_domestic_dvd_units,movie_acting_role_display_name,movie_theatrical_release_release_date,movie_creative_type_display_name,movie_production_method_display_name,movie_source_display_name,movie_running_time,movie_technical_role_display_name,movie_production_company_display_name,movie_sequel
22 Jump Street,2014,Comedy,50000000,139614539,23466259,899200,Jonah Hill,2014-06-13,Contemporary Fiction,Live Action,Based on TV,111,Phil Lord,Columbia Pictures,1
Sex Tape,2014,Comedy,40000000,87526036,4717683,301149,Jason Segel,2014-07-18,Contemporary Fiction,Live Action,Original Screenplay,95,Jake Kasdan,Escape Artists,0
When the Game Stands Tall,2014,Drama,15000000,10949,3687633,483217,Laura Dern,2014-08-22,Contemporary Fiction,Live Action,Based on Factual Book/Article,114,Thomas Carter,Mandalay Sports Media,0
Tammy,2014,Comedy,20000000,7500000,10345830,862083,Melissa McCarthy,2014-07-02,Contemporary Fiction,Live Action,Original Screenplay,96,Ben Falcone,Gary Sanchez Productions,0
Deliver Us from Evil,2014,Horror,30000000,57379496,3742609,214399,Sean Harris,2014-07-02,Fantasy,Live Action,Based on Factual Book/Article,118,Scott Derrickson,Screen Gems,0
The Other Woman,2014,Comedy,40000000,111200000,10270647,873250,Cameron Diaz,2014-04-25,Contemporary Fiction,Live Action,Original Screenplay,109,Nick Cassavetes,LBI Entertainment,0
A Haunted House 2,2014,Comedy,4000000,3877374,2121112,164301,Gabriel Iglesias,2014-04-18,Multiple Creative Types,Live Action,Original Screenplay,87,Mike Tiddes,Baby Way,1
A Million Ways to Die in The West,2014,Comedy,40000000,44040030,5229004,516784,Seth MacFarlane,2014-05-30,Historical Fiction,Live Action,Original Screenplay,115,Seth MacFarlane,Bluegrass Films,0
Big Hero 6,2014,Adventure,165000000,429600000,25851534,2400546,Scott Adsit,2014-11-07,Science Fiction,Digital Animation,Original Screenplay,108,Don Hall,Walt Disney Animation Studios,0
Exodus: Gods and Kings,2014,Drama,140000000,203300000,7508315,477088,Christian Bale,2014-12-12,Historical Fiction,Live Action,Based on Religious Text,150,Ridley Scott,Chernin Entertainment,0
Endless Love,2014,Drama,20000000,11176714,2868818,240969,Alex Pettyfer,2014-02-14,Contemporary Fiction,Live Action,Based on Fiction Book/Short Story,105,Shana Feste,Bluegrass Films,0
Victor Frankenstein,2014,Thriller/Suspense,40000000,19200000,633375,,Daniel Radcliffe,2015-11-25,Science Fiction,Live Action,Based on Fiction Book/Short Story,110,Paul McGuigan,Twentieth Century Fox,0
Planes: Fire and Rescue,2014,Adventure,50000000,37500000,7240848,916777,Dane Cook,2014-07-18,Kids Fiction,Digital Animation,Original Screenplay,83,Jeffrey M. Howard,Walt Disney Pictures,1
The Hundred-Foot Journey,2014,Romantic Comedy,22000000,40035047,6638364,730257,Helen Mirren,2014-08-08,Contemporary Fiction,Live Action,Based on Fiction Book/Short Story,122,Lasse Hallstrom,DreamWorks Pictures,0
The Expendables 3,2014,Action,100000000,170138834,4813040,1047715,Sylvester Stallone,2014-08-15,Contemporary Fiction,Live Action,Original Screenplay,103,Patrick Hughes,Nu Image,1
Into the Woods,2014,Musical,50000000,75500000,11122601,877021,Johnny Depp,2014-12-25,Fantasy,Animation/Live Action,Based on Folk Tale/Legend/Fairytale,124,Rob Marshall,Lucamar,0
Dolphin Tale 2,2014,Drama,36000000,15800000,5143761,896735,"Harry Connick, Jr.",2014-09-12,Kids Fiction,Live Action,Original Screenplay,107,Charles Martin Smith,Alcon Entertainment,1
Cinderella,2014,Drama,95000000,333400000,24032419,568019,Nonso Anozie,2015-03-13,Fantasy,Live Action,Based on Folk Tale/Legend/Fairytale,105,Kenneth Branagh,Allison Shearmur,0
Unbroken,2014,Drama,65000000,47640460,10728457,646199,Jack O'Connell,2014-12-25,Dramatization,Live Action,Based on Factual Book/Article,137,Angelina Jolie,Jolie Pas,0
Kill the Messenger,2014,Thriller/Suspense,5000000,317152,299981,99929,Jeremy Renner,2014-10-10,Dramatization,Live Action,Based on Real Life Events,112,Michael Cuesta,Bluegrass Films,0
The Judge,2014,Drama,50000000,29000000,5760478,531541,"Robert Downey, Jr.",2014-10-10,Contemporary Fiction,Live Action,Original Screenplay,141,David Dobkin,Team Downey,0
The Interview,2014,Comedy,44000000,6237457,607188,368798,Seth Rogen,2014-12-25,Contemporary Fiction,Live Action,Original Screenplay,111,Seth Rogen,Point Grey,0
Get on Up,2014,Drama,30000000,2745869,3741730,201232,Chadwick Boseman,2014-08-01,Dramatization,Live Action,Based on Real Life Events,138,Tate Taylor,Jagged Films,0
Paddington,2014,Adventure,55000000,183317852,9106759,638280,Hugh Bonneville,2015-01-16,Kids Fiction,Animation/Live Action,Based on Fiction Book/Short Story,95,Paul King,StudioCanal,0
Addicted,2014,Drama,5000000,108472,2128613,252272,Sharon Leal,2014-10-10,Contemporary Fiction,Live Action,Based on Fiction Book/Short Story,105,Bille Woodruff,Lionsgate,0
The Giver,2014,Drama,25000000,10000000,5519017,456308,Jeff Bridges,2014-08-15,Science Fiction,Live Action,Based on Fiction Book/Short Story,97,Nikki Silver,Tonik,0
"McFarland, USA",2014,Drama,17000000,153147,5314250,267369,Kevin Costner,2015-02-20,Dramatization,Live Action,Based on Real Life Events,128,Niki Caro,Mayhem Pictures,0
Into the Storm,2014,Thriller/Suspense,50000000,109000000,5826461,376398,Richard Armitage,2014-08-08,Contemporary Fiction,Live Action,Original Screenplay,89,Steven Quale,Broken Road,0
Horrible Bosses 2,2014,Comedy,40000000,51500000,6494916,295380,Jason Sudeikis,2014-11-26,Contemporary Fiction,Live Action,Original Screenplay,108,Sean Anders,RatPac Entertainment,1
The Fault in Our Stars,2014,Drama,12000000,178700000,15284253,1731177,Shailene Woodley,2014-06-06,Contemporary Fiction,Live Action,Based on Fiction Book/Short Story,125,Josh Boone,20th Century Fox,0
Sabotage,2014,Action,35000000,7867925,1286232,244454,Arnold Schwarzenegger,2014-03-28,Contemporary Fiction,Live Action,Original Screenplay,110,David Ayer,QED International,0
Gone Girl,2014,Thriller/Suspense,61000000,200800000,20407198,1078935,Ben Affleck,2014-10-03,Contemporary Fiction,Live Action,Based on Fiction Book/Short Story,149,David Fincher,Regency Enterprises,0
The Best of Me,2014,Drama,26000000,1100000,3272920,609948,Michelle Monaghan,2014-10-17,Contemporary Fiction,Live Action,Based on Fiction Book/Short Story,118,Michael Hoffman,Relativity Media,0
Jersey Boys,2014,Drama,40000000,18235719,5758508,591116,Christopher Walken,2014-06-20,Dramatization,Live Action,Based on Real Life Events,132,Clint Eastwood,GK Films,0
Unfinished Business,2014,Comedy,35000000,2600000,1220967,61967,Vince Vaughn,2015-03-06,Contemporary Fiction,Live Action,Original Screenplay,91,Ken Scott,Escape Artists,0
The Purge: Anarchy,2014,Thriller/Suspense,9000000,39971086,8759186,440947,Frank Grillo,2014-07-18,Science Fiction,Live Action,Original Screenplay,103,James DeMonaco,Platinum Dunes,1
Dumb and Dumber To,2014,Comedy,40000000,55000000,10451968,442726,Jim Carrey,2014-11-14,Contemporary Fiction,Live Action,Original Screenplay,110,Bobby Farrelly,Conundrum Entertainment,1
Blackhat,2014,Thriller/Suspense,70000000,11583074,942580,81315,Viola Davis,2015-01-16,Contemporary Fiction,Live Action,Original Screenplay,133,Michael Mann,Legendary Pictures,0
