movie_display_name,movie_production_year,movie_genre_display_name,movie_financial_summary_production_budget,movie_financial_summary_international_box_office,movie_annual_summary_tickets_sold,movie_video_summary_domestic_dvd_units,movie_acting_role_display_name,movie_theatrical_release_release_date,movie_creative_type_display_name,movie_production_method_display_name,movie_source_display_name,movie_running_time,movie_technical_role_display_name,movie_production_company_display_name,movie_sequel
Baby Mama,2008,Comedy,30000000,3676235,8425378,2111041,James Rebhorn,2008-04-25,Contemporary Fiction,Live Action,Original Screenplay,,Susan Bode,Relativity Media,0
Burn After Reading,2008,Black Comedy,37000000,107812451,8406037,1493103,David Rasche,2008-09-12,Contemporary Fiction,Live Action,Original Screenplay,97,Ethan Coen,Relativity Media,0
Step Up 2 the Streets,2008,Drama,17500000,90569127,8080471,1723189,Will Kemp,2008-02-14,Contemporary Fiction,Live Action,Original Screenplay,98,Aaron Zigman,Summit Entertainment,1
Saw V,2008,Horror,10800000,61463009,7903450,1600731,Tobin Bell,2008-10-24,Contemporary Fiction,Live Action,Original Screenplay,,Charlie Clouser,,1
The Strangers,2008,Thriller/Suspense,9000000,30454066,7325572,1393581,Liv Tyler,2008-05-30,Contemporary Fiction,Live Action,Original Screenplay,,Bryan Bertino,,0
The Forbidden Kingdom,2008,Action,55000000,77000000,7252823,1758696,Morgan Benoit,2008-04-18,Fantasy,Live Action,Based on Fiction Book/Short Story,105,Rob Minkoff,Casey Silver,0
The Tale of Despereaux,2008,Adventure,60000000,39605172,962049,1878337,Robbie Coltrane,2008-12-19,Kids Fiction,Digital Animation,Based on Fiction Book/Short Story,93,Rob Stevenhagen,Universal Pictures,0
Australia,2008,Drama,130000000,165526808,382305,1980236,Jack Thompson,2008-11-26,Historical Fiction,Live Action,Original Screenplay,165,Baz Luhrmann,Twentieth Century Fox,0
The House Bunny,2008,Comedy,25000000,23153212,6718299,1026741,Hugh Hefner,2008-08-22,Contemporary Fiction,Live Action,Original Screenplay,,Fred Wolf,,0
Nim's Island,2008,Adventure,37000000,46074921,6686179,1250727,Abigail Breslin,2008-04-04,Fantasy,Live Action,Based on Fiction Book/Short Story,96,Patrick Doyle,Walden Media,0
Made of Honor,2008,Romantic Comedy,40000000,60536004,6408459,1453605,Patrick Dempsey,2008-05-02,Contemporary Fiction,Live Action,Original Screenplay,,Paul Weiland,,0
College Road Trip,2008,Comedy,0,5263498,6352427,1089271,Adam LeFevre,2008-03-07,Contemporary Fiction,Live Action,Original Screenplay,82,Roger Kumble,Walt Disney Pictures,0
The Sisterhood of the Traveling Pants 2,2008,Adventure,27000000,180167,6140664,1067363,Alexis Bledel,2008-08-06,Contemporary Fiction,Live Action,Based on Fiction Book/Short Story,,,,1
Speed Racer,2008,Action,120000000,49448696,6120580,1451333,Emile Hirsch,2008-05-09,Science Fiction,Live Action,Based on TV,135,Andy Wachowski,Warner Bros.,0
Prom Night,2008,Horror,18000000,13324305,6109937,671342,Brittany Snow,2008-04-11,Contemporary Fiction,Live Action,Remake,,,,0
Rambo,2008,Action,47500000,69460426,5954611,2140300,Sylvester Stallone,2008-01-25,Contemporary Fiction,Live Action,Based on Fiction Book/Short Story,,Sylvester Stallone,,1
Welcome Home Roscoe Jenkins,2008,Comedy,27500000,1171110,5910378,1287046,Martin Lawrence,2008-02-08,Contemporary Fiction,Live Action,Original Screenplay,,Malcolm D. Lee,,0
Nights in Rodanthe,2008,Drama,0,37500000,6437,1223463,Richard Gere,2008-09-26,Contemporary Fiction,Live Action,Based on Fiction Book/Short Story,97,George C. Wolfe,"Carolina Pictures, LLC. ",0
Max Payne,2008,Action,35000000,45074495,1622,1464941,Mark Wahlberg,2008-10-17,Contemporary Fiction,Live Action,Based on Game,,,,0
Righteous Kill,2008,Thriller/Suspense,60000000,38400000,5582369,1116752,Robert De Niro,2008-09-12,Contemporary Fiction,Live Action,Original Screenplay,110,Jon Avnet,Millennium Films,0
Body of Lies,2008,Thriller/Suspense,67500000,69000000,10571,1328052,Lubna Azabal,2008-10-10,Contemporary Fiction,Live Action,Based on Fiction Book/Short Story,128,Ridley Scott,Warner Bros.,0
Lakeview Terrace,2008,Thriller/Suspense,20000000,5557793,5468455,1337755,Lynn Chen,2008-09-19,Contemporary Fiction,Live Action,Original Screenplay,,Neil LaBute,Overbrook Entertainment,0
Meet the Spartans,2008,Comedy,30000000,46413155,5325025,907052,Martin Klebba,2008-01-25,Historical Fiction,Live Action,Original Screenplay,,Aaron Seltzer,,0
Harold & Kumar Escape from Guantanamo Bay,2008,Comedy,12000000,5244389,5307622,1477120,Beverly D'Angelo,2008-04-25,Contemporary Fiction,Live Action,Original Screenplay,,George S. Clinton,,1
First Sunday,2008,Comedy,0,181539,5282990,1358420,Malinda Williams,2008-01-11,Contemporary Fiction,Live Action,Original Screenplay,,,,0
The Secret Life of Bees,2008,Drama,11000000,2213861,34023,1070218,Dakota Fanning,2008-10-17,Historical Fiction,Live Action,Based on Fiction Book/Short Story,110,Gina Prince-Bythewood,Overbrook Entertainment,0
Death Race,2008,Action,65000000,36200787,5057943,1411404,Justin Mader,2008-08-22,Science Fiction,Live Action,Remake,,Paul Anderson,Relativity Media,0
Changeling,2008,Thriller/Suspense,55000000,78065778,4330,901385,Michael Kelly,2008-10-24,Contemporary Fiction,Live Action,Original Screenplay,142,Clint Eastwood,Universal Pictures,0
Star Wars: The Clone Wars,2008,Adventure,8500000,33533889,4897152,1642055,Anthony Daniels,2008-08-15,Science Fiction,Digital Animation,Original Screenplay,98,Dave Filoni,Lucasfilm,1
The Reader,2008,Drama,32500000,78824883,4085444,814586,Ralph Fiennes,2008-12-10,Contemporary Fiction,Live Action,Based on Fiction Book/Short Story,122,Stephen Daldry,Mirage Enterprises,0
Semi-Pro,2008,Comedy,55000000,10500665,4662911,1462230,Will Ferrell,2008-02-29,Historical Fiction,Live Action,Original Screenplay,91,Theodore Shapiro,Mosaic Media,0
Fireproof,2008,Drama,500000,16980,26636,4586703,Eric Young,2008-09-26,Contemporary Fiction,Live Action,Original Screenplay,,Alex Kendrick,,0
Doubt,2008,Drama,20000000,19744631,1965465,798660,Viola Davis,2008-12-12,Historical Fiction,Live Action,Based on Play,,,,0
Drillbit Taylor,2008,Comedy,40000000,16824159,4576895,810042,Stephen Root,2008-03-21,Contemporary Fiction,Live Action,Original Screenplay,,Steven Brill,,0
"Definitely, Maybe",2008,Romantic Comedy,7000000,23376217,4490480,828725,Adam Ferrara,2008-02-14,Contemporary Fiction,Live Action,Original Screenplay,111,Adam Brooks,Working Title,0
The Love Guru,2008,Comedy,62000000,7923224,4489665,544808,Mike Myers,2008-06-20,Contemporary Fiction,Live Action,Original Screenplay,,George S. Clinton,,0
Milk,2008,Drama,20000000,25452072,1957774,667446,Sean Penn,2008-11-26,Dramatization,Live Action,Based on Real Life Events,128,Gus Van Sant,Groundswell Productions,0
Transporter 3,2008,Action,0,75520530,4417140,1247333,Jason Statham,2008-11-26,Contemporary Fiction,Live Action,Original Screenplay,,Camille Delamarre,,1
Quarantine,2008,Horror,12000000,10232963,4413901,850616,Columbus Short,2008-10-10,Contemporary Fiction,Live Action,Original Screenplay,89,John Erick Dowdle,,0
Nick and Norah's Infinite Playlist,2008,Drama,10000000,2398724,4385417,688499,Michael Cera,2008-10-03,Contemporary Fiction,Live Action,Based on Fiction Book/Short Story,,Peter Sollett,,0
Zack and Miri Make a Porno,2008,Comedy,24000000,5398360,4359444,1227654,Seth Rogen,2008-10-31,Contemporary Fiction,Live Action,Original Screenplay,101,Kevin Smith,Weinstein Company,0
The Eye,2008,Thriller/Suspense,12000000,26159068,4375863,901048,Chloe Moretz,2008-02-01,Fantasy,Live Action,Remake,97,Nancy Nayor Battino,Lionsgate,0
Leatherheads,2008,Romantic Comedy,58000000,9974690,4369629,727427,George Clooney,2008-04-04,Historical Fiction,Live Action,Original Screenplay,114,George Clooney,Universal Pictures,0
