company;company_id;business_account_name;business_account_id;campaign_id;campaign;creative_id;article_title;sponsored_update_text;sponsored_date;viral;impressions;clicks;likes;shares;comments;follows;total_revenue;Imps ;Clics;Social Actions;Social Actions 2;revenue;Campaign total Budget;creative link;;;
capgemini;157240;Capgemini_Yearlong_Renewal_HMI_INT_2014 // 4438774;500669025;113651171;01_US_Digital Customer Experience_CPM;26810671;Forbes | Why You Should Welcome Difficult Customers...;From Content Loop, powered by Capgemini, the only continuous source of business and technology news...;2014-03-03 06:47:09;sponsored;1;0;0;0;0;0;0,01996; 	1   ; 	-     ; 	-     ; 	-     ; $US	0,01 ; $US	12 000,00 ;http://www.content-loop.com/why-you-should-welcome-difficult-customers/?utm_source=LinkedIn&utm_medium=status_update&utm_campaign=Capgemini_Yearlong_HMI_INT_2013;;;
capgemini;157240;Capgemini_Yearlong_Renewal_HMI_INT_2014 // 4438774;500669025;111985013;02 Bis2_US_Dir+_Csize 500+_CPM;23973113;;;2014-12-01 02:20:51;sponsored;6662;62;1;0;0;0;191,69819; 	6 664   ; 	62   ; 	1   ; 	1   ; $US	154,77 ; $US	8 168,77 ;http://bit.ly/1yVGTW4;;;
capgemini;157240;Capgemini_Yearlong_Renewal_HMI_INT_2014 // 4438774;500669025;111985013;02 Bis2_US_Dir+_Csize 500+_CPM;23921683;The Next Web | The Pirate Bay still isnt back, could it be gone for good?...;;2014-12-01 02:20:51;sponsored;2644;2;0;0;0;0;75,15939; 	2 644   ; 	2   ; 	-     ; 	-     ; $US	60,30 ; $US	8 168,77 ;http://bit.ly/1Bi4bZp;;;
capgemini;157240;Capgemini_Yearlong_Renewal_HMI_INT_2014 // 4438774;500669025;111985013;02 Bis2_US_Dir+_Csize 500+_CPM;23921553;CapGemini | DevOps: The Future of Application Lifecycle Automation / Part 1...;;2014-12-01 02:20:51;sponsored;3444;5;0;0;0;0;95,42228; 	3 445   ; 	5   ; 	-     ; 	-     ; $US	76,51 ; $US	8 168,77 ;http://bit.ly/1wauIHT;;;
capgemini;157240;Capgemini_Yearlong_Renewal_HMI_INT_2014 // 4438774;500669025;111985013;02 Bis2_US_Dir+_Csize 500+_CPM;23872813;Fast Company | What The Sony Hack Reveals About Hollywood's Struggles With Technology...;;2014-12-01 02:20:51;sponsored;49360;300;5;1;1;2;1399,69479; 	49 360   ; 	300   ; 	9   ; 	9   ; $US	1 129,08 ; $US	8 168,77 ;http://bit.ly/1Bi3wqL;;;
capgemini;157240;Capgemini_Yearlong_Renewal_HMI_INT_2014 // 4438774;500669025;111985013;02 Bis2_US_Dir+_Csize 500+_CPM;23872813;Fast Company | What The Sony Hack Reveals About Hollywood's Struggles With Technology...;;2014-12-01 02:20:51;viral;297;5;0;0;0;0;0; 	297   ; 	5   ; 	-     ; 	-     ; $US	-   ; $US	8 168,77 ;http://bit.ly/1Bi3wqL;;;
capgemini;157240;Capgemini_Yearlong_Renewal_HMI_INT_2014 // 4438774;500669025;111985013;02 Bis2_US_Dir+_Csize 500+_CPM;23872723;The Next Web | Mark Zuckerberg is thinking about how to let you Dislike things on Facebook...;;2014-12-01 02:20:51;sponsored;6280;9;0;0;1;0;175,30122; 	6 280   ; 	9   ; 	1   ; 	1   ; $US	140,79 ; $US	8 168,77 ;http://bit.ly/1wIx0Qt;;;
capgemini;157240;Capgemini_Yearlong_Renewal_HMI_INT_2014 // 4438774;500669025;111985013;02 Bis2_US_Dir+_Csize 500+_CPM;23872723;The Next Web | Mark Zuckerberg is thinking about how to let you Dislike things on Facebook...;;2014-12-01 02:20:51;viral;215;6;1;0;0;0;0; 	215   ; 	6   ; 	1   ; 	1   ; $US	-   ; $US	8 168,77 ;http://bit.ly/1wIx0Qt;;;
capgemini;157240;Capgemini_Yearlong_Renewal_HMI_INT_2014 // 4438774;500669025;111985013;02 Bis2_US_Dir+_Csize 500+_CPM;23741113;The Daily Telegraph | Four ways that technology could destroy mankind...;;2014-12-01 02:20:51;sponsored;3475;5;0;0;0;0;90,43229; 	3 476   ; 	5   ; 	-     ; 	-     ; $US	72,88 ; $US	8 168,77 ;http://bit.ly/1vlSKdy;;;
capgemini;157240;Capgemini_Yearlong_Renewal_HMI_INT_2014 // 4438774;500669025;111985013;02 Bis2_US_Dir+_Csize 500+_CPM;23740983;CapGemini | TechnoVision 2015 - Object Of Desire...;;2014-12-01 02:20:51;sponsored;3417;0;0;0;0;0;90,06796; 	3 417   ; 	-     ; 	-     ; 	-     ; $US	72,55 ; $US	8 168,77 ;http://bit.ly/1yQlKjM;;;
capgemini;157240;Capgemini_Yearlong_Renewal_HMI_INT_2014 // 4438774;500669025;111985013;02 Bis2_US_Dir+_Csize 500+_CPM;23677673;Forbes | Top 10 Business Trends That Will Deliver Success In 2015...;;2014-12-01 02:20:51;viral;115;1;0;0;0;0;0; 	115   ; 	1   ; 	-     ; 	-     ; $US	-   ; $US	8 168,77 ;http://bit.ly/1uhjEEi;;;
capgemini;157240;Capgemini_Yearlong_Renewal_HMI_INT_2014 // 4438774;500669025;111985013;02 Bis2_US_Dir+_Csize 500+_CPM;23677673;Forbes | Top 10 Business Trends That Will Deliver Success In 2015...;;2014-12-01 02:20:51;sponsored;5182;24;1;1;0;0;140,11181; 	5 183   ; 	24   ; 	2   ; 	2   ; $US	113,06 ; $US	8 168,77 ;http://bit.ly/1uhjEEi;;;
capgemini;157240;Capgemini_Yearlong_Renewal_HMI_INT_2014 // 4438774;500669025;111985013;02 Bis2_US_Dir+_Csize 500+_CPM;23677553;ReadWrite | What Google Has In Store For The Mobile Web...;;2014-12-01 02:20:51;sponsored;5239;10;1;0;0;0;140,90164; 	5 239   ; 	10   ; 	1   ; 	1   ; $US	113,68 ; $US	8 168,77 ;http://bit.ly/1uhiXLj;;;
capgemini;157240;Capgemini_Yearlong_Renewal_HMI_INT_2014 // 4438774;500669025;111985013;02 Bis2_US_Dir+_Csize 500+_CPM;23677553;ReadWrite | What Google Has In Store For The Mobile Web...;;2014-12-01 02:20:51;viral;42;0;0;0;0;0;0; 	42   ; 	-     ; 	-     ; 	-     ; $US	-   ; $US	8 168,77 ;http://bit.ly/1uhiXLj;;;
capgemini;157240;Capgemini_Yearlong_Renewal_HMI_INT_2014 // 4438774;500669025;111985013;02 Bis2_US_Dir+_Csize 500+_CPM;23625423;ReadWrite | Things Tech Companies Do To Your Digital Stuff Without Telling You...;;2014-12-01 02:20:51;sponsored;3703;20;0;0;0;0;98,41589; 	3 705   ; 	20   ; 	-     ; 	-     ; $US	79,61 ; $US	8 168,77 ;http://bit.ly/1w7xnRe;;;
capgemini;157240;Capgemini_Yearlong_Renewal_HMI_INT_2014 // 4438774;500669025;111985013;02 Bis2_US_Dir+_Csize 500+_CPM;23625313;The Next Web | 10 reasons why the internet is not the answer...;;2014-12-01 02:20:51;sponsored;3661;7;0;0;0;0;97,95278; 	3 662   ; 	7   ; 	-     ; 	-     ; $US	79,20 ; $US	8 168,77 ;http://bit.ly/1qlGY7z;;;
capgemini;157240;Capgemini_Yearlong_Renewal_HMI_INT_2014 // 4438774;500669025;111985013;02 Bis2_US_Dir+_Csize 500+_CPM;23570923;The Next Web | As someone who loves driving, I welcome the driverless car future...;;2014-12-01 02:20:51;viral;117;0;1;0;0;0;0; 	117   ; 	-     ; 	1   ; 	1   ; $US	-   ; $US	8 168,77 ;http://bit.ly/1wzeut1;;;
capgemini;157240;Capgemini_Yearlong_Renewal_HMI_INT_2014 // 4438774;500669025;111985013;02 Bis2_US_Dir+_Csize 500+_CPM;23570923;;;2014-12-01 02:20:51;sponsored;2162;2;0;1;0;0;67,68405; 	2 162   ; 	2   ; 	1   ; 	1   ; $US	55,19 ; $US	8 168,77 ;http://bit.ly/1wzeut1;;;
capgemini;157240;Capgemini_Yearlong_Renewal_HMI_INT_2014 // 4438774;500669025;111985013;02 Bis2_US_Dir+_Csize 500+_CPM;23570883;;;2014-12-01 02:20:51;sponsored;2211;1;0;0;0;0;68,46367; 	2 211   ; 	1   ; 	-     ; 	-     ; $US	55,82 ; $US	8 168,77 ;http://bit.ly/1vwFN5V;;;
capgemini;157240;Capgemini_Yearlong_Renewal_HMI_INT_2014 // 4438774;500669025;111985013;02 Bis2_US_Dir+_Csize 500+_CPM;23450073;ReadWrite | What Microsoft's Acompli Acquisition Says About CEO Satya Nadella...;;2014-12-01 02:20:51;sponsored;3805;11;0;0;0;0;110,3306; 	3 806   ; 	11   ; 	-     ; 	-     ; $US	89,46 ; $US	8 168,77 ;http://bit.ly/1yMvJWc;;;
capgemini;157240;Capgemini_Yearlong_Renewal_HMI_INT_2014 // 4438774;500669025;111985013;02 Bis2_US_Dir+_Csize 500+_CPM;23449863;CapGemini | TechnoVision 2015 - Reborn In The Cloud...;;2014-12-01 02:20:51;sponsored;3760;1;0;0;0;0;108,53506; 	3 760   ; 	1   ; 	-     ; 	-     ; $US	87,99 ; $US	8 168,77 ;http://bit.ly/1yMT9ur;;;
capgemini;157240;Capgemini_Yearlong_Renewal_HMI_INT_2014 // 4438774;500669025;111985013;02 Bis2_US_Dir+_Csize 500+_CPM;23384873;The Daily Telegraph | Is Google Glass doomed?...;;2014-12-01 02:20:51;sponsored;3780;11;0;0;0;0;108,20501; 	3 782   ; 	11   ; 	-     ; 	-     ; $US	87,45 ; $US	8 168,77 ;http://bit.ly/1FJUjrY;;;
capgemini;157240;Capgemini_Yearlong_Renewal_HMI_INT_2014 // 4438774;500669025;111985013;02 Bis2_US_Dir+_Csize 500+_CPM;23384813;Forbes | Ten Ways Big Data Is Revolutionizing Manufacturing...;;2014-12-01 02:20:51;sponsored;3733;10;0;1;1;0;107,92191; 	3 733   ; 	10   ; 	2   ; 	2   ; $US	87,18 ; $US	8 168,77 ;http://bit.ly/1ycV5tF;;;
capgemini;157240;Capgemini_Yearlong_Renewal_HMI_INT_2014 // 4438774;500669025;111985013;02 Bis2_US_Dir+_Csize 500+_CPM;23384813;Forbes | Ten Ways Big Data Is Revolutionizing Manufacturing...;;2014-12-01 02:20:51;viral;745;6;0;0;0;0;0; 	745   ; 	6   ; 	-     ; 	-     ; $US	-   ; $US	8 168,77 ;http://bit.ly/1ycV5tF;;;
capgemini;157240;Capgemini_Yearlong_Renewal_HMI_INT_2014 // 4438774;500669025;111985013;02 Bis2_US_Dir+_Csize 500+_CPM;23326643;CapGemini | TechnoVision 2015 - Real Real Time...;;2014-12-01 02:20:51;sponsored;4183;3;0;0;0;0;116,04466; 	4 183   ; 	3   ; 	-     ; 	-     ; $US	93,34 ; $US	8 168,77 ;http://bit.ly/1z8TZBd;;;
capgemini;157240;Capgemini_Yearlong_Renewal_HMI_INT_2014 // 4438774;500669025;111985013;02 Bis2_US_Dir+_Csize 500+_CPM;23326553;The Daily Telegraph | Cyber warriors and space explorers: the engineering jobs of the future...;;2014-12-01 02:20:51;sponsored;4124;3;0;0;0;0;114,6713; 	4 125   ; 	3   ; 	-     ; 	-     ; $US	92,27 ; $US	8 168,77 ;http://bit.ly/1z900Oe;;;
capgemini;157240;Capgemini_Yearlong_Renewal_HMI_INT_2014 // 4438774;500669025;111985013;02 Bis2_US_Dir+_Csize 500+_CPM;23275113;ReadWrite | How Starbucks Could Take Wireless Charging Mainstream...;;2014-12-01 02:20:51;sponsored;1525;2;0;0;0;0;49,78275; 	1 525   ; 	2   ; 	-     ; 	-     ; $US	39,98 ; $US	8 168,77 ;http://bit.ly/1yc2v3L;;;
capgemini;157240;Capgemini_Yearlong_Renewal_HMI_INT_2014 // 4438774;500669025;111985013;02 Bis2_US_Dir+_Csize 500+_CPM;23274833;The Daily Telegraph | The dark side of Silicon Valley...;;2014-12-01 02:20:51;sponsored;1581;6;1;0;0;0;50,32199; 	1 581   ; 	6   ; 	1   ; 	1   ; $US	40,41 ; $US	8 168,77 ;http://bit.ly/1xHBfGG;;;
capgemini;157240;Capgemini_Yearlong_Renewal_HMI_INT_2014 // 4438774;500669025;111985013;02 Bis2_US_Dir+_Csize 500+_CPM;23274833;The Daily Telegraph | The dark side of Silicon Valley...;;2014-12-01 02:20:51;viral;22;0;0;0;0;0;0; 	22   ; 	-     ; 	-     ; 	-     ; $US	-   ; $US	8 168,77 ;http://bit.ly/1xHBfGG;;;
capgemini;157240;Capgemini_Yearlong_Renewal_HMI_INT_2014 // 4438774;500669025;111985013;02 Bis2_US_Dir+_Csize 500+_CPM;23274603;"MIT Technology Review | Google Glass Is Dead; Long Live Smart Glasses...";;2014-12-01 02:20:51;sponsored;1793;8;1;0;0;0;56,97374; 	1 793   ; 	8   ; 	1   ; 	1   ; $US	45,74 ; $US	8 168,77 ;http://bit.ly/1y1HEBC;;;
capgemini;157240;Capgemini_Yearlong_Renewal_HMI_INT_2014 // 4438774;500669025;111985013;02 Bis2_US_Dir+_Csize 500+_CPM;23274603;"MIT Technology Review | Google Glass Is Dead; Long Live Smart Glasses...";;2014-12-01 02:20:51;viral;109;0;0;0;0;0;0; 	109   ; 	-     ; 	-     ; 	-     ; $US	-   ; $US	8 168,77 ;http://bit.ly/1y1HEBC;;;
capgemini;157240;Capgemini_Yearlong_Renewal_HMI_INT_2014 // 4438774;500669025;111985013;02 Bis2_US_Dir+_Csize 500+_CPM;23274593;The Next Web | How data scientists are changing the face of business intelligence...;;2014-12-01 02:20:51;sponsored;1587;2;0;0;0;0;51,6922; 	1 587   ; 	2   ; 	-     ; 	-     ; $US	41,51 ; $US	8 168,77 ;http://bit.ly/1ybYzjk;;;
capgemini;157240;Capgemini_Yearlong_Renewal_HMI_INT_2014 // 4438774;500669025;111985013;02 Bis2_US_Dir+_Csize 500+_CPM;23274583;"ReadWrite | HTML5's ""Dirty Little Secret"": It's Already Everywhere, Even In Mobile...";;2014-12-01 02:20:51;sponsored;1491;1;0;0;0;0;48,44717; 	1 491   ; 	1   ; 	-     ; 	-     ; $US	38,91 ; $US	8 168,77 ;http://bit.ly/11Qy5bi;;;
capgemini;157240;Capgemini_Yearlong_Renewal_HMI_INT_2014 // 4438774;500669025;111985013;02 Bis2_US_Dir+_Csize 500+_CPM;23274573;The Next Web | Symantec has a found a spying tool active on computers around the world...;;2014-12-01 02:20:51;sponsored;1547;2;1;0;0;0;50,69596; 	1 547   ; 	2   ; 	1   ; 	1   ; $US	40,71 ; $US	8 168,77 ;http://bit.ly/1xUG2cE;;;
capgemini;157240;Capgemini_Yearlong_Renewal_HMI_INT_2014 // 4438774;500669025;111985013;02 Bis2_US_Dir+_Csize 500+_CPM;23274573;The Next Web | Symantec has a found a spying tool active on computers around the world...;;2014-12-01 02:20:51;viral;47;1;0;0;0;0;0; 	47   ; 	1   ; 	-     ; 	-     ; $US	-   ; $US	8 168,77 ;http://bit.ly/1xUG2cE;;;
capgemini;157240;Capgemini_Yearlong_Renewal_HMI_INT_2014 // 4438774;500669025;111985013;02 Bis2_US_Dir+_Csize 500+_CPM;23274563;Fast Company | The Common Traits Of The Most Successful People...;;2014-12-01 02:20:51;sponsored;96552;916;43;13;6;9;2814,97044; 	96 560   ; 	917   ; 	71   ; 	71   ; $US	2 271,04 ; $US	8 168,77 ;http://bit.ly/1xZl8rB;;;
capgemini;157240;Capgemini_Yearlong_Renewal_HMI_INT_2014 // 4438774;500669025;111985013;02 Bis2_US_Dir+_Csize 500+_CPM;23274563;Fast Company | The Common Traits Of The Most Successful People...;;2014-12-01 02:20:51;viral;8625;124;17;2;1;1;0; 	8 625   ; 	124   ; 	21   ; 	21   ; $US	-   ; $US	8 168,77 ;http://bit.ly/1xZl8rB;;;
capgemini;157240;Capgemini_Yearlong_Renewal_HMI_INT_2014 // 4438774;500669025;111985013;02 Bis2_US_Dir+_Csize 500+_CPM;23274553;;;2014-12-01 02:20:51;sponsored;1427;5;0;0;0;0;46,00828; 	1 427   ; 	5   ; 	-     ; 	-     ; $US	36,95 ; $US	8 168,77 ;http://www.content-loop.com/6-things-dont-realize-negotiate-work/?utm_source=LinkedIn&utm_medium=status_update&utm_campaign=Capgemini_Yearlong_HMI_INT_2013;;;
capgemini;157240;Capgemini_Yearlong_Renewal_HMI_INT_2014 // 4438774;500669025;111985013;02 Bis2_US_Dir+_Csize 500+_CPM;23274543;Fast Company | The Morning Routines Of The Most Successful People...;http://lnkd.in/dHVvqcC...;2014-12-01 02:20:51;sponsored;1432;7;0;0;0;0;47,12951; 	1 432   ; 	7   ; 	-     ; 	-     ; $US	37,85 ; $US	8 168,77 ;http://www.content-loop.com/morning-routines-successful-people/?utm_source=LinkedIn&utm_medium=status_update&utm_campaign=Capgemini_Yearlong_HMI_INT_2013;;;
capgemini;157240;Capgemini_Yearlong_Renewal_HMI_INT_2014 // 4438774;500669025;111985013;02 Bis2_US_Dir+_Csize 500+_CPM;23274533;;;2014-12-01 02:20:51;sponsored;76825;602;6;11;2;3;2276,55765; 	76 832   ; 	602   ; 	22   ; 	22   ; $US	1 841,54 ; $US	8 168,77 ;http://www.content-loop.com/top-10-ways-make-boss-love/?utm_source=LinkedIn&utm_medium=status_update&utm_campaign=Capgemini_Yearlong_HMI_INT_2013;;;
capgemini;157240;Capgemini_Yearlong_Renewal_HMI_INT_2014 // 4438774;500669025;111985013;02 Bis2_US_Dir+_Csize 500+_CPM;23274533;;;2014-12-01 02:20:51;viral;722;13;0;0;0;0;0; 	722   ; 	13   ; 	-     ; 	-     ; $US	-   ; $US	8 168,77 ;http://www.content-loop.com/top-10-ways-make-boss-love/?utm_source=LinkedIn&utm_medium=status_update&utm_campaign=Capgemini_Yearlong_HMI_INT_2013;;;
capgemini;157240;Capgemini_Yearlong_Renewal_HMI_INT_2014 // 4438774;500669025;111985013;02 Bis2_US_Dir+_Csize 500+_CPM;23274523;FastCo | 4 Effective Ways The Smartest People Prioritize Their Days...;Fast Company | 4 Odd Yet Effective Ways The Smartest People Prioritize Their Days...;2014-12-01 02:20:51;sponsored;38375;307;8;4;1;4;1082,00667; 	38 381   ; 	307   ; 	17   ; 	18   ; $US	872,72 ; $US	8 168,77 ;http://www.content-loop.com/4-odd-yet-effective-ways-smartest-people-prioritize-days/?utm_source=LinkedIn&utm_medium=status_update&utm_campaign=Capgemini_Yearlong_HMI_INT_2013;;;
capgemini;157240;Capgemini_Yearlong_Renewal_HMI_INT_2014 // 4438774;500669025;111985013;02 Bis2_US_Dir+_Csize 500+_CPM;23274523;FastCo | 4 Effective Ways The Smartest People Prioritize Their Days...;Fast Company | 4 Odd Yet Effective Ways The Smartest People Prioritize Their Days...;2014-12-01 02:20:51;viral;1034;10;2;1;1;0;0; 	1 034   ; 	10   ; 	4   ; 	4   ; $US	-   ; $US	8 168,77 ;http://www.content-loop.com/4-odd-yet-effective-ways-smartest-people-prioritize-days/?utm_source=LinkedIn&utm_medium=status_update&utm_campaign=Capgemini_Yearlong_HMI_INT_2013;;;
capgemini;157240;Capgemini_Yearlong_Renewal_HMI_INT_2014 // 4438774;500669025;117337571;02 Bis_US_Dir+_Csize 500+_CPM;34734841;LifeHacker | Six Characteristics That Make a Highly Effective Team...;http://lnkd.in/d9kiMDy...;2014-08-25 04:37:54;sponsored;9572;43;5;3;0;0;211,06887; 	9 403   ; 	42   ; 	8   ; 	8   ; $US	162,39 ; $US	83 823,61 ;http://www.content-loop.com/six-characteristics-make-highly-effective-team/?utm_source=LinkedIn&utm_medium=status_update&utm_campaign=Capgemini_Yearlong_HMI_INT_2013;;;
capgemini;157240;Capgemini_Yearlong_Renewal_HMI_INT_2014 // 4438774;500669025;117337571;02 Bis_US_Dir+_Csize 500+_CPM;34734841;LifeHacker | Six Characteristics That Make a Highly Effective Team...;http://lnkd.in/d9kiMDy...;2014-08-25 04:37:54;viral;1248;10;1;0;0;0;0; 	1 248   ; 	10   ; 	1   ; 	1   ; $US	-   ; $US	83 823,61 ;http://www.content-loop.com/six-characteristics-make-highly-effective-team/?utm_source=LinkedIn&utm_medium=status_update&utm_campaign=Capgemini_Yearlong_HMI_INT_2013;;;
