DEPARTEMENT,SPECIALISTES,ANATOMIE,ANESTHESIE,BIOLOGIE,CARDIOLOGIE,CHIRURGIE,STOMATOLOGIE,TRAUMATOLOGIE,CHIR_INFANT,CHIR_PLASTIQUE,CHIR_CARDIO,CHIR_UROLOGIQUE,CHIR_VASCULAIRE,CHIR_DISGESTIVE,DERMATOLOGIE,ENDOCRINOLOGIE,GENETIQUE,GERIATRIE,GYNECOLOGIE,OBSTETRIQUE,HEMATOLOGIE,HEPATOLOGIE,MEDECINE_NUCLEAIRE,READAPTATION,NEPHROLOGIE,NEURO_CHIRURGIE,NEUROLOGIE,ORL,ONCOLOGIE,OPHTALMOLOGIE,PEDIATRIE,PNEUMOLOGIE,PSYCHIATRIE,RADIOLOGIE,RADIO_THERAPIE,REANIMATION,RHUMATOLOGIE,SPECIALITE,DEPASSEMENT
AISNE,112.3,0.0,7.2,2.4,6.3,3.9,0.7,4.6,0.0,0.0,0.0,1.3,0.4,0.7,3.1,1.8,0.0,2.4,8.0,14.6,0.4,4.4,0.4,1.8,1.7,0.0,1.7,2.6,0.6,5.5,47.7,3.9,12.4,7.7,0.7,0.4,2.8,NEURO_CHIRURGIE,
AISNE,112.3,0.0,7.2,2.4,6.3,3.9,0.7,4.6,0.0,0.0,0.0,1.3,0.4,0.7,3.1,1.8,0.0,2.4,8.0,14.6,0.4,4.4,0.4,1.8,1.7,0.0,1.7,2.6,0.6,5.5,47.7,3.9,12.4,7.7,0.7,0.4,2.8,CHIR_UROLOGIQUE,252.0
AISNE,112.3,0.0,7.2,2.4,6.3,3.9,0.7,4.6,0.0,0.0,0.0,1.3,0.4,0.7,3.1,1.8,0.0,2.4,8.0,14.6,0.4,4.4,0.4,1.8,1.7,0.0,1.7,2.6,0.6,5.5,47.7,3.9,12.4,7.7,0.7,0.4,2.8,TRAUMATOLOGIE,0.0
AISNE,112.3,0.0,7.2,2.4,6.3,3.9,0.7,4.6,0.0,0.0,0.0,1.3,0.4,0.7,3.1,1.8,0.0,2.4,8.0,14.6,0.4,4.4,0.4,1.8,1.7,0.0,1.7,2.6,0.6,5.5,47.7,3.9,12.4,7.7,0.7,0.4,2.8,DERMATOLOGIE,0.0
AISNE,112.3,0.0,7.2,2.4,6.3,3.9,0.7,4.6,0.0,0.0,0.0,1.3,0.4,0.7,3.1,1.8,0.0,2.4,8.0,14.6,0.4,4.4,0.4,1.8,1.7,0.0,1.7,2.6,0.6,5.5,47.7,3.9,12.4,7.7,0.7,0.4,2.8,MEDECINE_NUCLEAIRE,34.0
AISNE,112.3,0.0,7.2,2.4,6.3,3.9,0.7,4.6,0.0,0.0,0.0,1.3,0.4,0.7,3.1,1.8,0.0,2.4,8.0,14.6,0.4,4.4,0.4,1.8,1.7,0.0,1.7,2.6,0.6,5.5,47.7,3.9,12.4,7.7,0.7,0.4,2.8,RADIO_THERAPIE,
AISNE,112.3,0.0,7.2,2.4,6.3,3.9,0.7,4.6,0.0,0.0,0.0,1.3,0.4,0.7,3.1,1.8,0.0,2.4,8.0,14.6,0.4,4.4,0.4,1.8,1.7,0.0,1.7,2.6,0.6,5.5,47.7,3.9,12.4,7.7,0.7,0.4,2.8,RADIOLOGIE,
AISNE,112.3,0.0,7.2,2.4,6.3,3.9,0.7,4.6,0.0,0.0,0.0,1.3,0.4,0.7,3.1,1.8,0.0,2.4,8.0,14.6,0.4,4.4,0.4,1.8,1.7,0.0,1.7,2.6,0.6,5.5,47.7,3.9,12.4,7.7,0.7,0.4,2.8,GYNECOLOGIE,
AISNE,112.3,0.0,7.2,2.4,6.3,3.9,0.7,4.6,0.0,0.0,0.0,1.3,0.4,0.7,3.1,1.8,0.0,2.4,8.0,14.6,0.4,4.4,0.4,1.8,1.7,0.0,1.7,2.6,0.6,5.5,47.7,3.9,12.4,7.7,0.7,0.4,2.8,OBSTETRIQUE,0.0
AISNE,112.3,0.0,7.2,2.4,6.3,3.9,0.7,4.6,0.0,0.0,0.0,1.3,0.4,0.7,3.1,1.8,0.0,2.4,8.0,14.6,0.4,4.4,0.4,1.8,1.7,0.0,1.7,2.6,0.6,5.5,47.7,3.9,12.4,7.7,0.7,0.4,2.8,HEPATOLOGIE,0.0
AISNE,112.3,0.0,7.2,2.4,6.3,3.9,0.7,4.6,0.0,0.0,0.0,1.3,0.4,0.7,3.1,1.8,0.0,2.4,8.0,14.6,0.4,4.4,0.4,1.8,1.7,0.0,1.7,2.6,0.6,5.5,47.7,3.9,12.4,7.7,0.7,0.4,2.8,HEMATOLOGIE,11.0
AISNE,112.3,0.0,7.2,2.4,6.3,3.9,0.7,4.6,0.0,0.0,0.0,1.3,0.4,0.7,3.1,1.8,0.0,2.4,8.0,14.6,0.4,4.4,0.4,1.8,1.7,0.0,1.7,2.6,0.6,5.5,47.7,3.9,12.4,7.7,0.7,0.4,2.8,ONCOLOGIE,0.0
AISNE,112.3,0.0,7.2,2.4,6.3,3.9,0.7,4.6,0.0,0.0,0.0,1.3,0.4,0.7,3.1,1.8,0.0,2.4,8.0,14.6,0.4,4.4,0.4,1.8,1.7,0.0,1.7,2.6,0.6,5.5,47.7,3.9,12.4,7.7,0.7,0.4,2.8,MEDECINE_INTERNE,
AISNE,112.3,0.0,7.2,2.4,6.3,3.9,0.7,4.6,0.0,0.0,0.0,1.3,0.4,0.7,3.1,1.8,0.0,2.4,8.0,14.6,0.4,4.4,0.4,1.8,1.7,0.0,1.7,2.6,0.6,5.5,47.7,3.9,12.4,7.7,0.7,0.4,2.8,ORL,10.0
AISNE,112.3,0.0,7.2,2.4,6.3,3.9,0.7,4.6,0.0,0.0,0.0,1.3,0.4,0.7,3.1,1.8,0.0,2.4,8.0,14.6,0.4,4.4,0.4,1.8,1.7,0.0,1.7,2.6,0.6,5.5,47.7,3.9,12.4,7.7,0.7,0.4,2.8,GENETIQUE,0.0
AISNE,112.3,0.0,7.2,2.4,6.3,3.9,0.7,4.6,0.0,0.0,0.0,1.3,0.4,0.7,3.1,1.8,0.0,2.4,8.0,14.6,0.4,4.4,0.4,1.8,1.7,0.0,1.7,2.6,0.6,5.5,47.7,3.9,12.4,7.7,0.7,0.4,2.8,PEDIATRIE,0.0
AISNE,112.3,0.0,7.2,2.4,6.3,3.9,0.7,4.6,0.0,0.0,0.0,1.3,0.4,0.7,3.1,1.8,0.0,2.4,8.0,14.6,0.4,4.4,0.4,1.8,1.7,0.0,1.7,2.6,0.6,5.5,47.7,3.9,12.4,7.7,0.7,0.4,2.8,PNEUMOLOGIE,
AISNE,112.3,0.0,7.2,2.4,6.3,3.9,0.7,4.6,0.0,0.0,0.0,1.3,0.4,0.7,3.1,1.8,0.0,2.4,8.0,14.6,0.4,4.4,0.4,1.8,1.7,0.0,1.7,2.6,0.6,5.5,47.7,3.9,12.4,7.7,0.7,0.4,2.8,RHUMATOLOGIE,16.0
AISNE,112.3,0.0,7.2,2.4,6.3,3.9,0.7,4.6,0.0,0.0,0.0,1.3,0.4,0.7,3.1,1.8,0.0,2.4,8.0,14.6,0.4,4.4,0.4,1.8,1.7,0.0,1.7,2.6,0.6,5.5,47.7,3.9,12.4,7.7,0.7,0.4,2.8,OPHTALMOLOGIE,11.0
AISNE,112.3,0.0,7.2,2.4,6.3,3.9,0.7,4.6,0.0,0.0,0.0,1.3,0.4,0.7,3.1,1.8,0.0,2.4,8.0,14.6,0.4,4.4,0.4,1.8,1.7,0.0,1.7,2.6,0.6,5.5,47.7,3.9,12.4,7.7,0.7,0.4,2.8,READAPTATION,0.0
AISNE,112.3,0.0,7.2,2.4,6.3,3.9,0.7,4.6,0.0,0.0,0.0,1.3,0.4,0.7,3.1,1.8,0.0,2.4,8.0,14.6,0.4,4.4,0.4,1.8,1.7,0.0,1.7,2.6,0.6,5.5,47.7,3.9,12.4,7.7,0.7,0.4,2.8,NEUROLOGIE,18.0
AISNE,112.3,0.0,7.2,2.4,6.3,3.9,0.7,4.6,0.0,0.0,0.0,1.3,0.4,0.7,3.1,1.8,0.0,2.4,8.0,14.6,0.4,4.4,0.4,1.8,1.7,0.0,1.7,2.6,0.6,5.5,47.7,3.9,12.4,7.7,0.7,0.4,2.8,PSYCHIATRIE,
AISNE,112.3,0.0,7.2,2.4,6.3,3.9,0.7,4.6,0.0,0.0,0.0,1.3,0.4,0.7,3.1,1.8,0.0,2.4,8.0,14.6,0.4,4.4,0.4,1.8,1.7,0.0,1.7,2.6,0.6,5.5,47.7,3.9,12.4,7.7,0.7,0.4,2.8,NEPHROLOGIE,
AISNE,112.3,0.0,7.2,2.4,6.3,3.9,0.7,4.6,0.0,0.0,0.0,1.3,0.4,0.7,3.1,1.8,0.0,2.4,8.0,14.6,0.4,4.4,0.4,1.8,1.7,0.0,1.7,2.6,0.6,5.5,47.7,3.9,12.4,7.7,0.7,0.4,2.8,ANATOMIE,
AISNE,112.3,0.0,7.2,2.4,6.3,3.9,0.7,4.6,0.0,0.0,0.0,1.3,0.4,0.7,3.1,1.8,0.0,2.4,8.0,14.6,0.4,4.4,0.4,1.8,1.7,0.0,1.7,2.6,0.6,5.5,47.7,3.9,12.4,7.7,0.7,0.4,2.8,ENDOCRINOLOGIE,
AISNE,112.3,0.0,7.2,2.4,6.3,3.9,0.7,4.6,0.0,0.0,0.0,1.3,0.4,0.7,3.1,1.8,0.0,2.4,8.0,14.6,0.4,4.4,0.4,1.8,1.7,0.0,1.7,2.6,0.6,5.5,47.7,3.9,12.4,7.7,0.7,0.4,2.8,GERIATRIE,
AISNE,112.3,0.0,7.2,2.4,6.3,3.9,0.7,4.6,0.0,0.0,0.0,1.3,0.4,0.7,3.1,1.8,0.0,2.4,8.0,14.6,0.4,4.4,0.4,1.8,1.7,0.0,1.7,2.6,0.6,5.5,47.7,3.9,12.4,7.7,0.7,0.4,2.8,BIOLOGIE,
ALLIER,135.4,0.0,12.5,2.6,7.9,4.4,0.6,5.5,0.0,0.0,0.0,2.9,1.2,1.5,3.8,1.8,0.0,2.3,7.3,17.8,0.6,4.7,0.6,2.6,1.5,0.0,3.2,3.8,0.3,7.6,33.1,3.5,13.7,9.6,1.8,0.6,4.7,ANESTHESIE,300.0
ALLIER,135.4,0.0,12.5,2.6,7.9,4.4,0.6,5.5,0.0,0.0,0.0,2.9,1.2,1.5,3.8,1.8,0.0,2.3,7.3,17.8,0.6,4.7,0.6,2.6,1.5,0.0,3.2,3.8,0.3,7.6,33.1,3.5,13.7,9.6,1.8,0.6,4.7,REANIMATION,19.0
ALLIER,135.4,0.0,12.5,2.6,7.9,4.4,0.6,5.5,0.0,0.0,0.0,2.9,1.2,1.5,3.8,1.8,0.0,2.3,7.3,17.8,0.6,4.7,0.6,2.6,1.5,0.0,3.2,3.8,0.3,7.6,33.1,3.5,13.7,9.6,1.8,0.6,4.7,CARDIOLOGIE,0.0
ALLIER,135.4,0.0,12.5,2.6,7.9,4.4,0.6,5.5,0.0,0.0,0.0,2.9,1.2,1.5,3.8,1.8,0.0,2.3,7.3,17.8,0.6,4.7,0.6,2.6,1.5,0.0,3.2,3.8,0.3,7.6,33.1,3.5,13.7,9.6,1.8,0.6,4.7,CHIR_INFANT,
ALLIER,135.4,0.0,12.5,2.6,7.9,4.4,0.6,5.5,0.0,0.0,0.0,2.9,1.2,1.5,3.8,1.8,0.0,2.3,7.3,17.8,0.6,4.7,0.6,2.6,1.5,0.0,3.2,3.8,0.3,7.6,33.1,3.5,13.7,9.6,1.8,0.6,4.7,STOMATOLOGIE,
ALLIER,135.4,0.0,12.5,2.6,7.9,4.4,0.6,5.5,0.0,0.0,0.0,2.9,1.2,1.5,3.8,1.8,0.0,2.3,7.3,17.8,0.6,4.7,0.6,2.6,1.5,0.0,3.2,3.8,0.3,7.6,33.1,3.5,13.7,9.6,1.8,0.6,4.7,CHIR_PLASTIQUE,14.0
ALLIER,135.4,0.0,12.5,2.6,7.9,4.4,0.6,5.5,0.0,0.0,0.0,2.9,1.2,1.5,3.8,1.8,0.0,2.3,7.3,17.8,0.6,4.7,0.6,2.6,1.5,0.0,3.2,3.8,0.3,7.6,33.1,3.5,13.7,9.6,1.8,0.6,4.7,CHIR_CARDIO,0.0
ALLIER,135.4,0.0,12.5,2.6,7.9,4.4,0.6,5.5,0.0,0.0,0.0,2.9,1.2,1.5,3.8,1.8,0.0,2.3,7.3,17.8,0.6,4.7,0.6,2.6,1.5,0.0,3.2,3.8,0.3,7.6,33.1,3.5,13.7,9.6,1.8,0.6,4.7,CHIR_VASCULAIRE,
ALLIER,135.4,0.0,12.5,2.6,7.9,4.4,0.6,5.5,0.0,0.0,0.0,2.9,1.2,1.5,3.8,1.8,0.0,2.3,7.3,17.8,0.6,4.7,0.6,2.6,1.5,0.0,3.2,3.8,0.3,7.6,33.1,3.5,13.7,9.6,1.8,0.6,4.7,CHIR_DISGESTIVE,0.0
ALLIER,135.4,0.0,12.5,2.6,7.9,4.4,0.6,5.5,0.0,0.0,0.0,2.9,1.2,1.5,3.8,1.8,0.0,2.3,7.3,17.8,0.6,4.7,0.6,2.6,1.5,0.0,3.2,3.8,0.3,7.6,33.1,3.5,13.7,9.6,1.8,0.6,4.7,CHIRURGIE,19.0
ALLIER,135.4,0.0,12.5,2.6,7.9,4.4,0.6,5.5,0.0,0.0,0.0,2.9,1.2,1.5,3.8,1.8,0.0,2.3,7.3,17.8,0.6,4.7,0.6,2.6,1.5,0.0,3.2,3.8,0.3,7.6,33.1,3.5,13.7,9.6,1.8,0.6,4.7,NEURO_CHIRURGIE,0.0
ALLIER,135.4,0.0,12.5,2.6,7.9,4.4,0.6,5.5,0.0,0.0,0.0,2.9,1.2,1.5,3.8,1.8,0.0,2.3,7.3,17.8,0.6,4.7,0.6,2.6,1.5,0.0,3.2,3.8,0.3,7.6,33.1,3.5,13.7,9.6,1.8,0.6,4.7,CHIR_UROLOGIQUE,4.0
ALLIER,135.4,0.0,12.5,2.6,7.9,4.4,0.6,5.5,0.0,0.0,0.0,2.9,1.2,1.5,3.8,1.8,0.0,2.3,7.3,17.8,0.6,4.7,0.6,2.6,1.5,0.0,3.2,3.8,0.3,7.6,33.1,3.5,13.7,9.6,1.8,0.6,4.7,TRAUMATOLOGIE,
ALLIER,135.4,0.0,12.5,2.6,7.9,4.4,0.6,5.5,0.0,0.0,0.0,2.9,1.2,1.5,3.8,1.8,0.0,2.3,7.3,17.8,0.6,4.7,0.6,2.6,1.5,0.0,3.2,3.8,0.3,7.6,33.1,3.5,13.7,9.6,1.8,0.6,4.7,DERMATOLOGIE,
ALLIER,135.4,0.0,12.5,2.6,7.9,4.4,0.6,5.5,0.0,0.0,0.0,2.9,1.2,1.5,3.8,1.8,0.0,2.3,7.3,17.8,0.6,4.7,0.6,2.6,1.5,0.0,3.2,3.8,0.3,7.6,33.1,3.5,13.7,9.6,1.8,0.6,4.7,MEDECINE_NUCLEAIRE,
ALLIER,135.4,0.0,12.5,2.6,7.9,4.4,0.6,5.5,0.0,0.0,0.0,2.9,1.2,1.5,3.8,1.8,0.0,2.3,7.3,17.8,0.6,4.7,0.6,2.6,1.5,0.0,3.2,3.8,0.3,7.6,33.1,3.5,13.7,9.6,1.8,0.6,4.7,RADIO_THERAPIE,0.0
ALLIER,135.4,0.0,12.5,2.6,7.9,4.4,0.6,5.5,0.0,0.0,0.0,2.9,1.2,1.5,3.8,1.8,0.0,2.3,7.3,17.8,0.6,4.7,0.6,2.6,1.5,0.0,3.2,3.8,0.3,7.6,33.1,3.5,13.7,9.6,1.8,0.6,4.7,RADIOLOGIE,
ALLIER,135.4,0.0,12.5,2.6,7.9,4.4,0.6,5.5,0.0,0.0,0.0,2.9,1.2,1.5,3.8,1.8,0.0,2.3,7.3,17.8,0.6,4.7,0.6,2.6,1.5,0.0,3.2,3.8,0.3,7.6,33.1,3.5,13.7,9.6,1.8,0.6,4.7,GYNECOLOGIE,57.0
ALLIER,135.4,0.0,12.5,2.6,7.9,4.4,0.6,5.5,0.0,0.0,0.0,2.9,1.2,1.5,3.8,1.8,0.0,2.3,7.3,17.8,0.6,4.7,0.6,2.6,1.5,0.0,3.2,3.8,0.3,7.6,33.1,3.5,13.7,9.6,1.8,0.6,4.7,OBSTETRIQUE,0.0
ALLIER,135.4,0.0,12.5,2.6,7.9,4.4,0.6,5.5,0.0,0.0,0.0,2.9,1.2,1.5,3.8,1.8,0.0,2.3,7.3,17.8,0.6,4.7,0.6,2.6,1.5,0.0,3.2,3.8,0.3,7.6,33.1,3.5,13.7,9.6,1.8,0.6,4.7,HEPATOLOGIE,16.0
ALLIER,135.4,0.0,12.5,2.6,7.9,4.4,0.6,5.5,0.0,0.0,0.0,2.9,1.2,1.5,3.8,1.8,0.0,2.3,7.3,17.8,0.6,4.7,0.6,2.6,1.5,0.0,3.2,3.8,0.3,7.6,33.1,3.5,13.7,9.6,1.8,0.6,4.7,HEMATOLOGIE,
ALLIER,135.4,0.0,12.5,2.6,7.9,4.4,0.6,5.5,0.0,0.0,0.0,2.9,1.2,1.5,3.8,1.8,0.0,2.3,7.3,17.8,0.6,4.7,0.6,2.6,1.5,0.0,3.2,3.8,0.3,7.6,33.1,3.5,13.7,9.6,1.8,0.6,4.7,ONCOLOGIE,0.0
ALLIER,135.4,0.0,12.5,2.6,7.9,4.4,0.6,5.5,0.0,0.0,0.0,2.9,1.2,1.5,3.8,1.8,0.0,2.3,7.3,17.8,0.6,4.7,0.6,2.6,1.5,0.0,3.2,3.8,0.3,7.6,33.1,3.5,13.7,9.6,1.8,0.6,4.7,MEDECINE_INTERNE,
ALLIER,135.4,0.0,12.5,2.6,7.9,4.4,0.6,5.5,0.0,0.0,0.0,2.9,1.2,1.5,3.8,1.8,0.0,2.3,7.3,17.8,0.6,4.7,0.6,2.6,1.5,0.0,3.2,3.8,0.3,7.6,33.1,3.5,13.7,9.6,1.8,0.6,4.7,ORL,0.0
ALLIER,135.4,0.0,12.5,2.6,7.9,4.4,0.6,5.5,0.0,0.0,0.0,2.9,1.2,1.5,3.8,1.8,0.0,2.3,7.3,17.8,0.6,4.7,0.6,2.6,1.5,0.0,3.2,3.8,0.3,7.6,33.1,3.5,13.7,9.6,1.8,0.6,4.7,GENETIQUE,
ALLIER,135.4,0.0,12.5,2.6,7.9,4.4,0.6,5.5,0.0,0.0,0.0,2.9,1.2,1.5,3.8,1.8,0.0,2.3,7.3,17.8,0.6,4.7,0.6,2.6,1.5,0.0,3.2,3.8,0.3,7.6,33.1,3.5,13.7,9.6,1.8,0.6,4.7,PEDIATRIE,
ALLIER,135.4,0.0,12.5,2.6,7.9,4.4,0.6,5.5,0.0,0.0,0.0,2.9,1.2,1.5,3.8,1.8,0.0,2.3,7.3,17.8,0.6,4.7,0.6,2.6,1.5,0.0,3.2,3.8,0.3,7.6,33.1,3.5,13.7,9.6,1.8,0.6,4.7,PNEUMOLOGIE,
ALLIER,135.4,0.0,12.5,2.6,7.9,4.4,0.6,5.5,0.0,0.0,0.0,2.9,1.2,1.5,3.8,1.8,0.0,2.3,7.3,17.8,0.6,4.7,0.6,2.6,1.5,0.0,3.2,3.8,0.3,7.6,33.1,3.5,13.7,9.6,1.8,0.6,4.7,RHUMATOLOGIE,
ALLIER,135.4,0.0,12.5,2.6,7.9,4.4,0.6,5.5,0.0,0.0,0.0,2.9,1.2,1.5,3.8,1.8,0.0,2.3,7.3,17.8,0.6,4.7,0.6,2.6,1.5,0.0,3.2,3.8,0.3,7.6,33.1,3.5,13.7,9.6,1.8,0.6,4.7,OPHTALMOLOGIE,
ALLIER,135.4,0.0,12.5,2.6,7.9,4.4,0.6,5.5,0.0,0.0,0.0,2.9,1.2,1.5,3.8,1.8,0.0,2.3,7.3,17.8,0.6,4.7,0.6,2.6,1.5,0.0,3.2,3.8,0.3,7.6,33.1,3.5,13.7,9.6,1.8,0.6,4.7,READAPTATION,
ALLIER,135.4,0.0,12.5,2.6,7.9,4.4,0.6,5.5,0.0,0.0,0.0,2.9,1.2,1.5,3.8,1.8,0.0,2.3,7.3,17.8,0.6,4.7,0.6,2.6,1.5,0.0,3.2,3.8,0.3,7.6,33.1,3.5,13.7,9.6,1.8,0.6,4.7,NEUROLOGIE,249.0
ALLIER,135.4,0.0,12.5,2.6,7.9,4.4,0.6,5.5,0.0,0.0,0.0,2.9,1.2,1.5,3.8,1.8,0.0,2.3,7.3,17.8,0.6,4.7,0.6,2.6,1.5,0.0,3.2,3.8,0.3,7.6,33.1,3.5,13.7,9.6,1.8,0.6,4.7,PSYCHIATRIE,24.0
ALLIER,135.4,0.0,12.5,2.6,7.9,4.4,0.6,5.5,0.0,0.0,0.0,2.9,1.2,1.5,3.8,1.8,0.0,2.3,7.3,17.8,0.6,4.7,0.6,2.6,1.5,0.0,3.2,3.8,0.3,7.6,33.1,3.5,13.7,9.6,1.8,0.6,4.7,NEPHROLOGIE,25.0
ALLIER,135.4,0.0,12.5,2.6,7.9,4.4,0.6,5.5,0.0,0.0,0.0,2.9,1.2,1.5,3.8,1.8,0.0,2.3,7.3,17.8,0.6,4.7,0.6,2.6,1.5,0.0,3.2,3.8,0.3,7.6,33.1,3.5,13.7,9.6,1.8,0.6,4.7,ANATOMIE,0.0
ALLIER,135.4,0.0,12.5,2.6,7.9,4.4,0.6,5.5,0.0,0.0,0.0,2.9,1.2,1.5,3.8,1.8,0.0,2.3,7.3,17.8,0.6,4.7,0.6,2.6,1.5,0.0,3.2,3.8,0.3,7.6,33.1,3.5,13.7,9.6,1.8,0.6,4.7,ENDOCRINOLOGIE,
ALLIER,135.4,0.0,12.5,2.6,7.9,4.4,0.6,5.5,0.0,0.0,0.0,2.9,1.2,1.5,3.8,1.8,0.0,2.3,7.3,17.8,0.6,4.7,0.6,2.6,1.5,0.0,3.2,3.8,0.3,7.6,33.1,3.5,13.7,9.6,1.8,0.6,4.7,GERIATRIE,0.0
ALLIER,135.4,0.0,12.5,2.6,7.9,4.4,0.6,5.5,0.0,0.0,0.0,2.9,1.2,1.5,3.8,1.8,0.0,2.3,7.3,17.8,0.6,4.7,0.6,2.6,1.5,0.0,3.2,3.8,0.3,7.6,33.1,3.5,13.7,9.6,1.8,0.6,4.7,BIOLOGIE,0.0
ALPES-DE-HAUTE-PROVENCE,119.8,0.0,8.0,3.1,7.4,1.2,0.6,5.6,0.0,0.0,0.0,0.6,0.6,0.6,3.7,2.5,0.0,1.9,8.5,9.9,0.0,3.1,0.0,6.2,2.5,0.0,1.2,4.3,1.2,7.4,33.2,2.5,17.3,9.9,0.0,0.0,3.7,,
ALPES-MARITIMES,260.7,0.1,24.7,8.3,16.8,8.1,2.7,6.4,0.6,0.5,0.8,2.6,1.4,1.6,12.3,4.9,0.5,2.0,13.2,24.6,1.9,8.2,1.9,3.1,2.7,0.7,4.2,7.4,1.9,14.3,91.0,6.2,32.1,19.6,1.6,0.1,5.8,ANESTHESIE,0.0
ALPES-MARITIMES,260.7,0.1,24.7,8.3,16.8,8.1,2.7,6.4,0.6,0.5,0.8,2.6,1.4,1.6,12.3,4.9,0.5,2.0,13.2,24.6,1.9,8.2,1.9,3.1,2.7,0.7,4.2,7.4,1.9,14.3,91.0,6.2,32.1,19.6,1.6,0.1,5.8,REANIMATION,
ALPES-MARITIMES,260.7,0.1,24.7,8.3,16.8,8.1,2.7,6.4,0.6,0.5,0.8,2.6,1.4,1.6,12.3,4.9,0.5,2.0,13.2,24.6,1.9,8.2,1.9,3.1,2.7,0.7,4.2,7.4,1.9,14.3,91.0,6.2,32.1,19.6,1.6,0.1,5.8,CARDIOLOGIE,0.0
